dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.975682,3.336640,0.000200,0.020000,1.000000,50.000000,6.280434
0.020000,1.975582,3.336640,0.000300,0.004986,-0.750713,-87.535672,6.280761
0.020000,1.975382,3.336641,0.000499,0.009975,0.249468,50.009075,6.281416
0.020000,1.975083,3.336641,0.000799,0.014972,0.249830,0.018112,6.282398
0.020000,1.975963,3.336642,0.001679,0.044007,1.451778,60.097376,0.000525
0.020000,1.979463,3.336646,0.005178,0.174984,6.548827,254.852468,0.002167
0.020000,1.983661,3.336659,0.009377,0.209911,1.746385,-240.122126,0.004143
0.020000,1.988556,3.336685,0.014272,0.244749,1.741866,-0.225947,0.006454
0.020000,1.994147,3.336729,0.019863,0.279577,1.741405,-0.023040,0.009106
0.020000,2.000434,3.336796,0.026150,0.314363,1.739306,-0.104944,0.012101
0.020000,2.007415,3.336892,0.033132,0.349075,1.735585,-0.186055,0.015444
0.020000,2.015088,3.337024,0.040806,0.383680,1.730265,-0.265987,0.019139
0.020000,2.023450,3.337201,0.049170,0.418212,1.726620,-0.182267,0.023190
0.020000,2.032502,3.337431,0.058225,0.452754,1.727064,0.022224,0.027606
0.020000,2.042239,3.337723,0.067967,0.487088,1.716713,-0.517585,0.032389
0.020000,2.052660,3.338088,0.078393,0.521337,1.712447,-0.213289,0.037548
0.020000,2.063762,3.338536,0.089504,0.555547,1.710514,-0.096638,0.043088
0.020000,2.075542,3.339079,0.101297,0.589620,1.703656,-0.342919,0.049018
0.020000,2.087997,3.339729,0.113769,0.623619,1.699937,-0.185926,0.055345
0.020000,2.101123,3.340501,0.126918,0.657451,1.691623,-0.415726,0.062076
0.020000,2.114916,3.341407,0.140740,0.691102,1.682509,-0.455703,0.069219
0.020000,2.129372,3.342464,0.155235,0.724751,1.682452,-0.002818,0.076783
0.020000,2.144485,3.343688,0.170398,0.758136,1.669255,-0.659839,0.084776
0.020000,2.160253,3.345094,0.186228,0.791504,1.668424,-0.041558,0.093207
0.020000,2.176668,3.346702,0.202722,0.824702,1.659893,-0.426568,0.102086
0.020000,2.193555,3.348511,0.219705,0.849171,1.223428,-21.823225,0.111325
0.020000,2.210569,3.350494,0.236835,0.856456,0.364253,-42.958775,0.120743
0.020000,2.227539,3.352635,0.253939,0.855215,-0.062020,-21.313650,0.130245
0.020000,2.244463,3.354934,0.271018,0.853969,-0.062341,-0.016031,0.139828
0.020000,2.261340,3.357392,0.288073,0.852754,-0.060726,0.080757,0.149490
0.020000,2.278169,3.360011,0.305105,0.851574,-0.058983,0.087103,0.159228
0.020000,2.294949,3.362790,0.322113,0.850432,-0.057112,0.093580,0.169041
0.020000,2.311679,3.365730,0.339100,0.849343,-0.054439,0.133662,0.178924
0.020000,2.328360,3.368833,0.356067,0.848354,-0.049485,0.247677,0.188877
0.020000,2.344990,3.372098,0.373014,0.847340,-0.050664,-0.058968,0.198894
0.020000,2.361566,3.375526,0.389942,0.846375,-0.048286,0.118945,0.208974
0.020000,2.378090,3.379118,0.406851,0.845462,-0.045641,0.132238,0.219111
0.020000,2.394561,3.382874,0.423745,0.844690,-0.038609,0.351573,0.229304
0.020000,2.410977,3.386794,0.440622,0.843881,-0.040415,-0.090293,0.239548
0.020000,2.427337,3.390879,0.457485,0.843131,-0.037535,0.143999,0.249840
0.020000,2.443642,3.395129,0.474335,0.842503,-0.031402,0.306682,0.260174
0.020000,2.459891,3.399545,0.491173,0.841907,-0.029798,0.080175,0.270549
0.020000,2.476082,3.404127,0.508000,0.841340,-0.028317,0.074033,0.280957
0.020000,2.492216,3.408874,0.524818,0.840907,-0.021666,0.332561,0.291397
0.020000,2.508292,3.413788,0.541628,0.840503,-0.020200,0.073321,0.301863
0.020000,2.524309,3.418867,0.558431,0.840139,-0.018217,0.099145,0.312350
0.020000,2.540267,3.424113,0.575230,0.839939,-0.009976,0.412019,0.322854
0.020000,2.556166,3.429525,0.592024,0.839715,-0.011202,-0.061281,0.333371
0.020000,2.572004,3.435104,0.608816,0.839613,-0.005107,0.304761,0.343894
0.020000,2.587783,3.440848,0.625608,0.839579,-0.001696,0.170566,0.354421
0.020000,2.603500,3.446759,0.642400,0.839593,0.000684,0.118990,0.364945
0.020000,2.619157,3.452835,0.659194,0.839736,0.007145,0.323039,0.375461
0.020000,2.634752,3.459077,0.675992,0.839883,0.007368,0.011163,0.385966
0.020000,2.650286,3.465484,0.692796,0.840185,0.015075,0.385338,0.396454
0.020000,2.665758,3.472056,0.709606,0.840486,0.015055,-0.000985,0.406919
0.020000,2.681168,3.478793,0.726424,0.840922,0.021837,0.339060,0.417358
0.020000,2.696515,3.485694,0.743252,0.841383,0.023040,0.060176,0.427765
0.020000,2.711801,3.492759,0.760091,0.841960,0.028828,0.289379,0.438135
0.020000,2.727023,3.499987,0.776942,0.842571,0.030576,0.087410,0.448464
0.020000,2.742184,3.507378,0.793808,0.843289,0.035872,0.264809,0.458747
0.020000,2.757281,3.514931,0.810689,0.844043,0.037697,0.091252,0.468980
0.020000,2.772315,3.522645,0.827587,0.844899,0.042813,0.255817,0.479157
0.020000,2.787286,3.530520,0.844503,0.845787,0.044425,0.080602,0.489275
0.020000,2.802194,3.538554,0.861438,0.846778,0.049517,0.254557,0.499329
0.020000,2.817039,3.546748,0.878394,0.847794,0.050837,0.066011,0.509315
0.020000,2.831821,3.555099,0.895372,0.848909,0.055740,0.245152,0.519230
0.020000,2.846540,3.563608,0.912373,0.850052,0.057114,0.068715,0.529068
0.020000,2.861195,3.572273,0.929399,0.851275,0.061162,0.202404,0.538827
0.020000,2.875788,3.581093,0.946449,0.852537,0.063116,0.097668,0.548503
0.020000,2.890317,3.590067,0.963527,0.853862,0.066225,0.155462,0.558092
0.020000,2.904783,3.599194,0.980631,0.855233,0.068559,0.116717,0.567591
0.020000,2.919186,3.608473,0.997764,0.856651,0.070923,0.118174,0.576996
0.020000,2.933526,3.617902,1.014927,0.858119,0.073405,0.124106,0.586306
0.020000,2.947803,3.627481,1.032119,0.859624,0.075250,0.092268,0.595516
0.020000,2.962018,3.637207,1.049343,0.861177,0.077631,0.119029,0.604625
0.020000,2.976169,3.647080,1.066598,0.862761,0.079228,0.079863,0.613630
0.020000,2.990258,3.657097,1.083886,0.864385,0.081180,0.097625,0.622529
0.020000,3.004285,3.667259,1.101207,0.866040,0.082757,0.078849,0.631318
0.020000,3.018250,3.677563,1.118561,0.867726,0.084305,0.077395,0.639997
0.020000,3.032153,3.688007,1.135950,0.869440,0.085697,0.069576,0.648564
0.020000,3.045994,3.698590,1.153374,0.871182,0.087066,0.068461,0.657017
0.020000,3.059774,3.709311,1.170832,0.872942,0.088043,0.048857,0.665353
0.020000,3.073492,3.720168,1.188327,0.874732,0.089464,0.071038,0.673573
0.020000,3.087149,3.731159,1.205858,0.876528,0.089834,0.018488,0.681674
0.020000,3.100746,3.742282,1.223425,0.878355,0.091322,0.074393,0.689656
