dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.974843,3.031841,0.000200,0.020000,1.000000,50.000000,6.280434
0.020000,1.974843,3.031841,0.001000,0.060000,2.000000,50.000000,6.280761
0.020000,1.974843,3.031841,0.002600,0.100000,2.000000,0.000000,6.281416
0.020000,1.974843,3.031841,0.005000,0.140000,2.000000,0.000000,6.282398
0.020000,1.976123,3.031842,0.008200,0.180000,2.000000,-0.000000,0.000525
0.020000,1.980123,3.031847,0.012200,0.220000,2.000000,0.000000,0.002167
0.020000,1.984924,3.031862,0.017000,0.260000,2.000000,0.000000,0.004143
0.020000,1.990523,3.031892,0.022600,0.300000,2.000000,-0.000000,0.006454
0.020000,1.996923,3.031942,0.029000,0.340000,2.000000,0.000000,0.009106
0.020000,2.004123,3.032018,0.036200,0.380000,2.000000,-0.000000,0.012101
0.020000,2.012122,3.032128,0.044200,0.420000,2.000000,0.000000,0.015444
0.020000,2.020921,3.032280,0.053000,0.460000,2.000000,0.000000,0.019139
0.020000,2.030518,3.032483,0.062600,0.500000,2.000000,-0.000000,0.023190
0.020000,2.040915,3.032747,0.073000,0.540000,2.000000,0.000000,0.027606
0.020000,2.052110,3.033083,0.084200,0.580000,2.000000,-0.000000,0.032389
0.020000,2.064102,3.033503,0.096200,0.620000,2.000000,0.000000,0.037548
0.020000,2.076891,3.034019,0.109000,0.660000,2.000000,0.000000,0.043088
0.020000,2.090476,3.034645,0.122600,0.700000,2.000000,-0.000000,0.049018
0.020000,2.104858,3.035396,0.137000,0.740000,2.000000,0.000000,0.055345
0.020000,2.120032,3.036288,0.152200,0.780000,2.000000,0.000000,0.062076
0.020000,2.135997,3.037337,0.168200,0.820000,2.000000,-0.000000,0.069219
0.020000,2.152753,3.038562,0.185000,0.860000,2.000000,0.000000,0.076783
0.020000,2.170294,3.039982,0.202600,0.900000,2.000000,0.000000,0.084776
0.020000,2.188621,3.041617,0.221000,0.940000,2.000000,-0.000000,0.093207
0.020000,2.207730,3.043489,0.240200,0.980000,2.000000,0.000000,0.102086
0.020000,2.227417,3.045598,0.260000,1.000000,1.000000,-50.000000,0.111325
0.020000,2.247282,3.047913,0.280000,1.000000,0.000000,-50.000000,0.120743
0.020000,2.267125,3.050416,0.300000,1.000000,0.000000,0.000000,0.130245
0.020000,2.286944,3.053109,0.320000,1.000000,0.000000,0.000000,0.139828
0.020000,2.306735,3.055992,0.340000,1.000000,0.000000,0.000000,0.149490
0.020000,2.326497,3.059066,0.360000,1.000000,0.000000,0.000000,0.159228
0.020000,2.346227,3.062334,0.380000,1.000000,0.000000,0.000000,0.169041
0.020000,2.365925,3.065796,0.400000,1.000000,0.000000,0.000000,0.178924
0.020000,2.385588,3.069453,0.420000,1.000000,0.000000,0.000000,0.188877
0.020000,2.405214,3.073307,0.440000,1.000000,0.000000,0.000000,0.198894
0.020000,2.424799,3.077357,0.460000,1.000000,0.000000,0.000000,0.208974
0.020000,2.444342,3.081605,0.480000,1.000000,0.000000,0.000000,0.219111
0.020000,2.463842,3.086052,0.500000,1.000000,0.000000,0.000000,0.229304
0.020000,2.483295,3.090697,0.520000,1.000000,0.000000,0.000000,0.239548
0.020000,2.502698,3.095542,0.540000,1.000000,0.000000,0.000000,0.249840
0.020000,2.522052,3.100587,0.560000,1.000000,0.000000,0.000000,0.260174
0.020000,2.541352,3.105833,0.580000,1.000000,0.000000,0.000000,0.270549
0.020000,2.560596,3.111278,0.600000,1.000000,0.000000,0.000000,0.280957
0.020000,2.579782,3.116924,0.620000,1.000000,0.000000,0.000000,0.291397
0.020000,2.598909,3.122769,0.640000,1.000000,0.000000,0.000000,0.301863
0.020000,2.617972,3.128815,0.660000,1.000000,0.000000,0.000000,0.312350
0.020000,2.636973,3.135061,0.680000,1.000000,0.000000,0.000000,0.322854
0.020000,2.655905,3.141506,0.700000,1.000000,0.000000,0.000000,0.333371
0.020000,2.674770,3.148150,0.720000,1.000000,0.000000,0.000000,0.343894
0.020000,2.693563,3.154992,0.740000,1.000000,0.000000,0.000000,0.354421
0.020000,2.712282,3.162032,0.760000,1.000000,0.000000,0.000000,0.364945
0.020000,2.730928,3.169268,0.780000,1.000000,0.000000,0.000000,0.375461
0.020000,2.749495,3.176699,0.800000,1.000000,0.000000,0.000000,0.385966
0.020000,2.767984,3.184326,0.820000,1.000000,0.000000,0.000000,0.396454
0.020000,2.786392,3.192145,0.840000,1.000000,0.000000,0.000000,0.406919
0.020000,2.804718,3.200156,0.860000,1.000000,0.000000,0.000000,0.417358
0.020000,2.822958,3.208358,0.880000,1.000000,0.000000,0.000000,0.427765
0.020000,2.841113,3.216749,0.900000,1.000000,0.000000,0.000000,0.438135
0.020000,2.859179,3.225328,0.920000,1.000000,0.000000,0.000000,0.448464
0.020000,2.877157,3.234092,0.940000,1.000000,0.000000,0.000000,0.458747
0.020000,2.895043,3.243040,0.960000,1.000000,0.000000,0.000000,0.468980
0.020000,2.912837,3.252170,0.980000,1.000000,0.000000,0.000000,0.479157
