dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.974005,2.727042,0.000200,0.020000,1.000000,50.000000,6.280434
0.020000,1.974104,2.727042,0.000300,0.004986,-0.750713,-87.535672,6.280761
0.020000,1.974304,2.727042,0.000499,0.009975,0.249468,50.009075,6.281416
0.020000,1.974603,2.727041,0.000799,0.014972,0.249830,0.018112,6.282398
0.020000,1.976283,2.727042,0.002478,0.083982,3.450504,160.033691,0.000525
0.020000,1.980784,2.727048,0.006979,0.225037,7.052742,180.111877,0.002167
0.020000,1.986186,2.727065,0.012382,0.270135,2.254902,-239.892002,0.004143
0.020000,1.992491,2.727098,0.018686,0.315214,2.253975,-0.046307,0.006454
0.020000,1.999698,2.727154,0.025894,0.360396,2.259081,0.255293,0.009106
0.020000,2.007811,2.727240,0.034007,0.405654,2.262887,0.190305,0.012101
0.020000,2.016829,2.727364,0.043026,0.450962,2.265401,0.125691,0.015444
0.020000,2.026754,2.727536,0.052952,0.496294,2.266635,0.061693,0.019139
0.020000,2.037585,2.727765,0.063786,0.541710,2.270808,0.208645,0.023190
0.020000,2.049328,2.728064,0.075533,0.587332,2.281059,0.512542,0.027606
0.020000,2.061980,2.728443,0.088191,0.632893,2.278059,-0.149977,0.032389
0.020000,2.075543,2.728918,0.101762,0.678566,2.283664,0.280251,0.037548
0.020000,2.090020,2.729502,0.116251,0.724426,2.293016,0.467608,0.043088
0.020000,2.105411,2.730211,0.131658,0.770359,2.296622,0.180255,0.049018
0.020000,2.121718,2.731062,0.147987,0.816458,2.304946,0.416230,0.055345
0.020000,2.138941,2.732075,0.165239,0.862614,2.307822,0.143806,0.062076
0.020000,2.157078,2.733267,0.183416,0.908817,2.310119,0.114858,0.069219
0.020000,2.176133,2.734660,0.202522,0.955312,2.324756,0.731821,0.076783
0.020000,2.196103,2.736277,0.222557,1.001760,2.322419,-0.116824,0.084776
0.020000,2.216990,2.738141,0.243527,1.048492,2.336619,0.709955,0.093207
0.020000,2.238792,2.740276,0.265433,1.095307,2.340752,0.206650,0.102086
0.020000,2.261279,2.742685,0.288049,1.130791,1.774190,-28.328084,0.111325
0.020000,2.283995,2.745332,0.310919,1.143513,0.636084,-56.905295,0.120743
0.020000,2.306712,2.748198,0.333816,1.144828,0.065748,-28.516788,0.130245
0.020000,2.329424,2.751284,0.356737,1.146059,0.061550,-0.209920,0.139828
0.020000,2.352130,2.754591,0.379682,1.147252,0.059640,-0.095464,0.149490
0.020000,2.374825,2.758122,0.402650,1.148404,0.057607,-0.101693,0.159228
0.020000,2.397506,2.761879,0.425640,1.149513,0.055451,-0.107776,0.169041
0.020000,2.420171,2.765862,0.448652,1.150595,0.054086,-0.068259,0.178924
0.020000,2.442816,2.770074,0.471686,1.151705,0.055532,0.072296,0.188877
0.020000,2.465438,2.774516,0.494740,1.152673,0.048364,-0.358391,0.198894
0.020000,2.488031,2.779188,0.517811,1.153587,0.045724,-0.132011,0.208974
0.020000,2.510594,2.784093,0.540900,1.154450,0.043164,-0.128011,0.219111
0.020000,2.533123,2.789230,0.564008,1.155377,0.046333,0.158485,0.229304
0.020000,2.555613,2.794601,0.587130,1.156120,0.037156,-0.458887,0.239548
0.020000,2.578060,2.800206,0.610266,1.156802,0.034113,-0.152119,0.249840
0.020000,2.600461,2.806045,0.633417,1.157508,0.035297,0.059177,0.260174
0.020000,2.622813,2.812120,0.656579,1.158109,0.030031,-0.263302,0.270549
0.020000,2.645109,2.818429,0.679751,1.158596,0.024363,-0.283387,0.280957
0.020000,2.667349,2.824973,0.702933,1.159108,0.025610,0.062341,0.291397
0.020000,2.689526,2.831751,0.726123,1.159499,0.019526,-0.304165,0.301863
0.020000,2.711636,2.838763,0.749318,1.159778,0.013975,-0.277578,0.312350
0.020000,2.733678,2.846009,0.772521,1.160117,0.016910,0.146763,0.322854
0.020000,2.755645,2.853487,0.795726,1.160249,0.006640,-0.513527,0.333371
0.020000,2.777535,2.861196,0.818933,1.160377,0.006365,-0.013712,0.343894
0.020000,2.799343,2.869136,0.842142,1.160422,0.002291,-0.203715,0.354421
0.020000,2.821065,2.877305,0.865349,1.160357,-0.003280,-0.278568,0.364945
0.020000,2.842699,2.885701,0.888555,1.160292,-0.003261,0.000985,0.375461
0.020000,2.864238,2.894322,0.911756,1.160054,-0.011886,-0.431257,0.385966
0.020000,2.885683,2.903167,0.934953,1.159850,-0.010177,0.085443,0.396454
0.020000,2.907026,2.912233,0.958142,1.159468,-0.019117,-0.447024,0.406919
0.020000,2.928267,2.921519,0.981324,1.159095,-0.018630,0.024394,0.417358
0.020000,2.949401,2.931022,1.004496,1.158580,-0.025769,-0.356980,0.427765
0.020000,2.970425,2.940739,1.027657,1.158050,-0.026506,-0.036846,0.438135
0.020000,2.991335,2.950668,1.050805,1.157396,-0.032695,-0.309423,0.448464
0.020000,3.012130,2.960806,1.073939,1.156719,-0.033877,-0.059139,0.458747
0.020000,3.032805,2.971149,1.097057,1.155925,-0.039676,-0.289955,0.468980
0.020000,3.053360,2.981696,1.120160,1.155109,-0.040798,-0.056059,0.479157
0.020000,3.073790,2.992442,1.143243,1.154178,-0.046528,-0.286547,0.489275
0.020000,3.094093,3.003384,1.166308,1.153232,-0.047307,-0.038910,0.499329
0.020000,3.114268,3.014519,1.189351,1.152172,-0.053009,-0.285103,0.509315
0.020000,3.134312,3.025844,1.212373,1.151100,-0.053606,-0.029869,0.519230
0.020000,3.154223,3.037354,1.235372,1.149925,-0.058752,-0.257298,0.529068
0.020000,3.173999,3.049047,1.258346,1.148725,-0.060020,-0.063405,0.538827
0.020000,3.193639,3.060918,1.281295,1.147447,-0.063857,-0.191855,0.548503
0.020000,3.213142,3.072963,1.304218,1.146130,-0.065863,-0.100266,0.558092
0.020000,3.232505,3.085180,1.327113,1.144758,-0.068633,-0.138517,0.567591
0.020000,3.251728,3.097564,1.349980,1.143336,-0.071079,-0.122292,0.576996
0.020000,3.270810,3.110111,1.372817,1.141874,-0.073080,-0.100044,0.586306
0.020000,3.289750,3.122818,1.395624,1.140362,-0.075638,-0.127922,0.595516
0.020000,3.308547,3.135680,1.418401,1.138818,-0.077194,-0.077815,0.604625
0.020000,3.327201,3.148693,1.441145,1.137228,-0.079497,-0.115140,0.613630
0.020000,3.345711,3.161854,1.463857,1.135607,-0.081040,-0.077126,0.622529
0.020000,3.364077,3.175159,1.486536,1.133951,-0.082789,-0.087486,0.631318
0.020000,3.382299,3.188604,1.509182,1.132265,-0.084292,-0.075146,0.639997
0.020000,3.400377,3.202185,1.531793,1.130551,-0.085720,-0.071361,0.648564
0.020000,3.418312,3.215898,1.554369,1.128813,-0.086902,-0.059098,0.657017
0.020000,3.436102,3.229740,1.576910,1.127046,-0.088323,-0.071048,0.665353
0.020000,3.453750,3.243706,1.599415,1.125268,-0.088909,-0.029331,0.673573
0.020000,3.471255,3.257793,1.621884,1.123456,-0.090593,-0.084215,0.681674
0.020000,3.488618,3.271997,1.644317,1.121645,-0.090596,-0.000118,0.689656
0.020000,3.505839,3.286315,1.666713,1.119803,-0.092068,-0.073588,0.697518
0.020000,3.522920,3.300743,1.689073,1.117961,-0.092109,-0.002063,0.705258
0.020000,3.539862,3.315278,1.711395,1.116101,-0.093022,-0.045642,0.712877
0.020000,3.556665,3.329916,1.733679,1.114234,-0.093324,-0.015125,0.720373
0.020000,3.573331,3.344653,1.755927,1.112363,-0.093544,-0.011012,0.727746
0.020000,3.589860,3.359487,1.778136,1.110479,-0.094230,-0.034268,0.734995
0.020000,3.606255,3.374414,1.800308,1.108605,-0.093696,0.026691,0.742121
0.020000,3.622516,3.389430,1.822442,1.106708,-0.094830,-0.056726,0.749124
0.020000,3.638645,3.404534,1.844539,1.104837,-0.093535,0.064772,0.756003
0.020000,3.654643,3.419721,1.866598,1.102935,-0.095134,-0.079938,0.762757
0.020000,3.670513,3.434988,1.888619,1.101070,-0.093212,0.096083,0.769389
0.020000,3.686254,3.450334,1.910603,1.099171,-0.094961,-0.087453,0.775897
0.020000,3.701870,3.465754,1.932549,1.097314,-0.092857,0.105226,0.782282
