dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.975682,3.336640,0.000200,0.020000,1.000000,50.000000,6.280434
0.020000,1.975582,3.336640,0.000300,0.004986,-0.750713,-87.535672,6.280761
0.020000,1.975382,3.336641,0.000499,0.009975,0.249468,50.009075,6.281416
0.020000,1.975083,3.336641,0.000799,0.014972,0.249830,0.018112,6.282398
0.020000,1.975963,3.336642,0.001679,0.044007,1.451778,60.097376,0.000525
0.020000,1.979463,3.336646,0.005178,0.174984,6.548827,254.852468,0.002167
0.020000,1.983661,3.336659,0.009377,0.209911,1.746385,-240.122126,0.004143
0.020000,1.988556,3.336685,0.014272,0.244749,1.741866,-0.225947,0.006454
0.020000,1.994147,3.336729,0.019863,0.279577,1.741405,-0.023040,0.009106
0.020000,2.000434,3.336796,0.026150,0.314363,1.739306,-0.104944,0.012101
0.020000,2.007415,3.336892,0.033132,0.349075,1.735585,-0.186055,0.015444
0.020000,2.015088,3.337024,0.040806,0.383680,1.730265,-0.265987,0.019139
0.020000,2.023450,3.337201,0.049170,0.418212,1.726620,-0.182267,0.023190
0.020000,2.032502,3.337431,0.058225,0.452754,1.727064,0.022224,0.027606
0.020000,2.042239,3.337723,0.067967,0.487088,1.716713,-0.517585,0.032389
0.020000,2.052660,3.338088,0.078393,0.521337,1.712447,-0.213289,0.037548
0.020000,2.063762,3.338536,0.089504,0.555547,1.710514,-0.096638,0.043088
0.020000,2.075542,3.339079,0.101297,0.589620,1.703656,-0.342919,0.049018
0.020000,2.087997,3.339729,0.113769,0.623619,1.699937,-0.185926,0.055345
0.020000,2.101123,3.340501,0.126918,0.657451,1.691623,-0.415726,0.062076
0.020000,2.114916,3.341407,0.140740,0.691102,1.682509,-0.455703,0.069219
0.020000,2.129372,3.342464,0.155235,0.724751,1.682452,-0.002818,0.076783
0.020000,2.144485,3.343688,0.170398,0.758136,1.669255,-0.659839,0.084776
0.020000,2.160253,3.345094,0.186228,0.791504,1.668424,-0.041558,0.093207
0.020000,2.176668,3.346702,0.202722,0.824702,1.659893,-0.426568,0.102086
0.020000,2.193725,3.348530,0.219877,0.857735,1.651658,-0.411741,0.111419
0.020000,2.211419,3.350597,0.237691,0.890708,1.648640,-0.150914,0.121216
0.020000,2.229742,3.352925,0.256161,0.923505,1.639859,-0.439048,0.131486
0.020000,2.248686,3.355533,0.275284,0.956130,1.631258,-0.430045,0.142236
0.020000,2.268245,3.358446,0.295059,0.988754,1.631181,-0.003837,0.153473
0.020000,2.288411,3.361687,0.315483,1.021209,1.622754,-0.421339,0.165206
0.020000,2.309174,3.365279,0.336554,1.053569,1.618004,-0.237525,0.177438
0.020000,2.330525,3.369248,0.358271,1.085860,1.614530,-0.173695,0.190176
0.020000,2.352455,3.373620,0.380633,1.118074,1.610683,-0.192351,0.203422
0.020000,2.374955,3.378423,0.403640,1.150344,1.613529,0.142290,0.217181
0.020000,2.398012,3.383683,0.427289,1.182469,1.606266,-0.363128,0.231451
0.020000,2.421617,3.389431,0.451584,1.214750,1.614020,0.387682,0.246233
0.020000,2.445758,3.395694,0.476524,1.246995,1.612240,-0.088972,0.261521
0.020000,2.470422,3.402504,0.502111,1.279346,1.617546,0.265296,0.277311
0.020000,2.495597,3.409892,0.528347,1.311820,1.623721,0.308725,0.293593
0.020000,2.521271,3.417889,0.555238,1.344534,1.635719,0.599899,0.310356
0.020000,2.547429,3.426528,0.582786,1.377385,1.642519,0.340029,0.327585
0.020000,2.574059,3.435841,0.610998,1.410593,1.660390,0.893543,0.345263
0.020000,2.601147,3.445862,0.639879,1.444078,1.674294,0.695193,0.363366
0.020000,2.628677,3.456623,0.669438,1.477964,1.694261,0.998366,0.381871
0.020000,2.656637,3.468159,0.699684,1.512288,1.716224,1.098108,0.400747
0.020000,2.685011,3.480503,0.730627,1.547139,1.742546,1.316133,0.419963
0.020000,2.713783,3.493690,0.762277,1.582520,1.769032,1.324293,0.439480
0.020000,2.742940,3.507752,0.794648,1.618533,1.800670,1.581883,0.459260
0.020000,2.772465,3.522723,0.827752,1.655191,1.832873,1.610158,0.479259
0.020000,2.802194,3.538554,0.861434,1.684090,1.444992,-19.394028,0.499329
0.020000,2.831821,3.555099,0.895367,1.696683,0.629615,-40.768868,0.519230
0.020000,2.861195,3.572273,0.929393,1.701306,0.231159,-19.922792,0.538827
0.020000,2.890317,3.590067,0.963521,1.706379,0.253650,1.124515,0.558092
0.020000,2.919186,3.608473,0.997758,1.711865,0.274299,1.032484,0.576996
0.020000,2.947803,3.627481,1.032113,1.717725,0.293017,0.935912,0.595516
0.020000,2.976169,3.647080,1.066591,1.723921,0.309776,0.837929,0.613630
0.020000,3.004285,3.667259,1.101199,1.730408,0.324384,0.730396,0.631318
0.020000,3.032153,3.688007,1.135942,1.737150,0.337103,0.635972,0.648564
0.020000,3.059774,3.709311,1.170825,1.744109,0.347911,0.540387,0.665353
0.020000,3.087149,3.731159,1.205850,1.751246,0.356844,0.446641,0.681674
0.020000,3.114282,3.753536,1.241020,1.758525,0.363991,0.357343,0.697518
0.020000,3.141176,3.776430,1.276338,1.765915,0.369458,0.273335,0.712877
0.020000,3.167832,3.799827,1.311806,1.773382,0.373363,0.195249,0.727746
0.020000,3.194255,3.823711,1.347424,1.780898,0.375833,0.123516,0.742121
0.020000,3.220448,3.848069,1.383193,1.788438,0.377000,0.058383,0.756003
0.020000,3.246416,3.872886,1.419112,1.795977,0.376922,-0.003920,0.769389
0.020000,3.272163,3.898147,1.455182,1.803495,0.375897,-0.051245,0.782282
0.020000,3.297694,3.923839,1.491402,1.810976,0.374060,-0.091842,0.794684
0.020000,3.323014,3.949945,1.527770,1.818403,0.371345,-0.135775,0.806599
0.020000,3.348129,3.976452,1.564285,1.825762,0.367962,-0.169145,0.818032
0.020000,3.373044,4.003345,1.600946,1.833043,0.364022,-0.197000,0.828986
0.020000,3.397766,4.030610,1.637751,1.840235,0.359627,-0.219739,0.839469
0.020000,3.422302,4.058233,1.674697,1.847330,0.354740,-0.244340,0.849486
0.020000,3.446658,4.086201,1.711784,1.854323,0.349672,-0.253421,0.859045
0.020000,3.470842,4.114499,1.749008,1.861214,0.344547,-0.256252,0.868151
0.020000,3.494861,4.143115,1.786368,1.867998,0.339196,-0.267525,0.876812
0.020000,3.518722,4.172035,1.823861,1.874674,0.333781,-0.270770,0.885035
0.020000,3.542434,4.201248,1.861486,1.881241,0.328355,-0.271298,0.892827
0.020000,3.566004,4.230741,1.899240,1.887700,0.322966,-0.269438,0.900196
0.020000,3.589441,4.260501,1.937121,1.894053,0.317656,-0.265491,0.907147
0.020000,3.612753,4.290518,1.975127,1.900303,0.312455,-0.260064,0.913689
0.020000,3.635950,4.320779,2.013256,1.906437,0.306734,-0.286060,0.919828
0.020000,3.659039,4.351274,2.051506,1.912488,0.302553,-0.209029,0.925570
0.020000,3.682030,4.381991,2.089875,1.918446,0.297892,-0.233047,0.930921
