dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.974843,3.031841,0.000200,0.020000,1.000000,50.000000,6.280434
0.020000,1.974843,3.031841,0.001000,0.060000,2.000000,50.000000,6.280761
0.020000,1.974843,3.031841,0.002600,0.100000,2.000000,0.000000,6.281416
0.020000,1.974843,3.031841,0.005000,0.140000,2.000000,0.000000,6.282398
0.020000,1.976123,3.031842,0.008200,0.180000,2.000000,-0.000000,0.000525
0.020000,1.980123,3.031847,0.012200,0.220000,2.000000,0.000000,0.002167
0.020000,1.984924,3.031862,0.017000,0.260000,2.000000,0.000000,0.004143
0.020000,1.990523,3.031892,0.022600,0.300000,2.000000,-0.000000,0.006454
0.020000,1.996923,3.031942,0.029000,0.340000,2.000000,0.000000,0.009106
0.020000,2.004123,3.032018,0.036200,0.380000,2.000000,-0.000000,0.012101
0.020000,2.012122,3.032128,0.044200,0.420000,2.000000,0.000000,0.015444
0.020000,2.020921,3.032280,0.053000,0.460000,2.000000,0.000000,0.019139
0.020000,2.030518,3.032483,0.062600,0.500000,2.000000,-0.000000,0.023190
0.020000,2.040915,3.032747,0.073000,0.540000,2.000000,0.000000,0.027606
0.020000,2.052110,3.033083,0.084200,0.580000,2.000000,-0.000000,0.032389
0.020000,2.064102,3.033503,0.096200,0.620000,2.000000,0.000000,0.037548
0.020000,2.076891,3.034019,0.109000,0.660000,2.000000,0.000000,0.043088
0.020000,2.090476,3.034645,0.122600,0.700000,2.000000,-0.000000,0.049018
0.020000,2.104858,3.035396,0.137000,0.740000,2.000000,0.000000,0.055345
0.020000,2.120032,3.036288,0.152200,0.780000,2.000000,0.000000,0.062076
0.020000,2.135997,3.037337,0.168200,0.820000,2.000000,-0.000000,0.069219
0.020000,2.152753,3.038562,0.185000,0.860000,2.000000,0.000000,0.076783
0.020000,2.170294,3.039982,0.202600,0.900000,2.000000,0.000000,0.084776
0.020000,2.188621,3.041617,0.221000,0.940000,2.000000,-0.000000,0.093207
0.020000,2.207730,3.043489,0.240200,0.980000,2.000000,0.000000,0.102086
0.020000,2.227616,3.045620,0.260200,1.020000,2.000000,0.000000,0.111419
0.020000,2.248276,3.048034,0.281000,1.060000,2.000000,0.000000,0.121216
0.020000,2.269704,3.050756,0.302600,1.100000,2.000000,0.000000,0.131486
0.020000,2.291893,3.053811,0.325000,1.140000,2.000000,-0.000000,0.142236
0.020000,2.314841,3.057229,0.348200,1.180000,2.000000,0.000000,0.153473
0.020000,2.338537,3.061037,0.372200,1.220000,2.000000,0.000000,0.165206
0.020000,2.362973,3.065265,0.397000,1.260000,2.000000,0.000000,0.177438
0.020000,2.388142,3.069943,0.422600,1.300000,2.000000,0.000000,0.190176
0.020000,2.414031,3.075105,0.449000,1.340000,2.000000,0.000000,0.203422
0.020000,2.440633,3.080783,0.476200,1.380000,2.000000,-0.000000,0.217181
0.020000,2.467930,3.087011,0.504200,1.420000,2.000000,0.000000,0.231451
0.020000,2.495913,3.093824,0.533000,1.460000,2.000000,0.000000,0.246233
0.020000,2.524564,3.101258,0.562600,1.500000,2.000000,0.000000,0.261521
0.020000,2.553867,3.109349,0.593000,1.540000,2.000000,0.000000,0.277311
0.020000,2.583804,3.118134,0.624200,1.580000,2.000000,0.000000,0.293593
0.020000,2.614356,3.127651,0.656200,1.620000,2.000000,0.000000,0.310356
0.020000,2.645500,3.137937,0.689000,1.660000,2.000000,-0.000000,0.327585
0.020000,2.677217,3.149028,0.722600,1.700000,2.000000,0.000000,0.345263
0.020000,2.709480,3.160963,0.757000,1.740000,2.000000,0.000000,0.363366
0.020000,2.742263,3.173778,0.792200,1.780000,2.000000,0.000000,0.381871
0.020000,2.775541,3.187508,0.828200,1.820000,2.000000,0.000000,0.400747
0.020000,2.809286,3.202189,0.865000,1.860000,2.000000,0.000000,0.419963
0.020000,2.843466,3.217854,0.902600,1.900000,2.000000,-0.000000,0.439480
0.020000,2.878053,3.234535,0.941000,1.940000,2.000000,0.000000,0.459260
0.020000,2.913015,3.252263,0.980200,1.980000,2.000000,0.000000,0.479259
0.020000,2.948144,3.270969,1.020000,2.000000,1.000000,-50.000000,0.499329
0.020000,2.983067,3.290471,1.060000,2.000000,0.000000,-50.000000,0.519230
0.020000,3.017597,3.310660,1.100000,2.000000,0.000000,0.000000,0.538827
0.020000,3.051729,3.331515,1.140000,2.000000,0.000000,0.000000,0.558092
0.020000,3.085457,3.353019,1.180000,2.000000,0.000000,0.000000,0.576996
0.020000,3.118776,3.375149,1.220000,2.000000,0.000000,0.000000,0.595516
0.020000,3.151685,3.397886,1.260000,2.000000,0.000000,0.000000,0.613630
0.020000,3.184181,3.421209,1.300000,2.000000,0.000000,0.000000,0.631318
0.020000,3.216265,3.445096,1.340000,2.000000,0.000000,0.000000,0.648564
0.020000,3.247938,3.469525,1.380000,2.000000,0.000000,0.000000,0.665353
0.020000,3.279202,3.494476,1.420000,2.000000,0.000000,0.000000,0.681674
