dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.974005,2.727042,0.000200,0.020000,1.000000,50.000000,6.280434
0.020000,1.974104,2.727042,0.000300,0.004986,-0.750713,-87.535672,6.280761
0.020000,1.974304,2.727042,0.000499,0.009975,0.249468,50.009075,6.281416
0.020000,1.974603,2.727041,0.000799,0.014972,0.249830,0.018112,6.282398
0.020000,1.976283,2.727042,0.002478,0.083982,3.450504,160.033691,0.000525
0.020000,1.980784,2.727048,0.006979,0.225037,7.052742,180.111877,0.002167
0.020000,1.986186,2.727065,0.012382,0.270135,2.254902,-239.892002,0.004143
0.020000,1.992491,2.727098,0.018686,0.315214,2.253975,-0.046307,0.006454
0.020000,1.999698,2.727154,0.025894,0.360396,2.259081,0.255293,0.009106
0.020000,2.007811,2.727240,0.034007,0.405654,2.262887,0.190305,0.012101
0.020000,2.016829,2.727364,0.043026,0.450962,2.265401,0.125691,0.015444
0.020000,2.026754,2.727536,0.052952,0.496294,2.266635,0.061693,0.019139
0.020000,2.037585,2.727765,0.063786,0.541710,2.270808,0.208645,0.023190
0.020000,2.049328,2.728064,0.075533,0.587332,2.281059,0.512542,0.027606
0.020000,2.061980,2.728443,0.088191,0.632893,2.278059,-0.149977,0.032389
0.020000,2.075543,2.728918,0.101762,0.678566,2.283664,0.280251,0.037548
0.020000,2.090020,2.729502,0.116251,0.724426,2.293016,0.467608,0.043088
0.020000,2.105411,2.730211,0.131658,0.770359,2.296622,0.180255,0.049018
0.020000,2.121718,2.731062,0.147987,0.816458,2.304946,0.416230,0.055345
0.020000,2.138941,2.732075,0.165239,0.862614,2.307822,0.143806,0.062076
0.020000,2.157078,2.733267,0.183416,0.908817,2.310119,0.114858,0.069219
0.020000,2.176133,2.734660,0.202522,0.955312,2.324756,0.731821,0.076783
0.020000,2.196103,2.736277,0.222557,1.001760,2.322419,-0.116824,0.084776
0.020000,2.216990,2.738141,0.243527,1.048492,2.336619,0.709955,0.093207
0.020000,2.238792,2.740276,0.265433,1.095307,2.340752,0.206650,0.102086
0.020000,2.261506,2.742710,0.288277,1.142212,2.345202,0.222537,0.111419
0.020000,2.285132,2.745470,0.312064,1.189339,2.356382,0.558996,0.121216
0.020000,2.309665,2.748587,0.336795,1.236529,2.359469,0.154350,0.131486
0.020000,2.335101,2.752089,0.362470,1.283771,2.362122,0.132646,0.142236
0.020000,2.361436,2.756012,0.389096,1.331278,2.375338,0.660816,0.153473
0.020000,2.388663,2.760387,0.416672,1.378801,2.376176,0.041894,0.165206
0.020000,2.416773,2.765250,0.445200,1.426411,2.380464,0.214388,0.177438
0.020000,2.445759,2.770639,0.474682,1.474104,2.384654,0.209518,0.190176
0.020000,2.475608,2.776590,0.505118,1.521826,2.386136,0.074068,0.203422
0.020000,2.506310,2.783143,0.536513,1.569709,2.394138,0.400130,0.217181
0.020000,2.537848,2.790338,0.568861,1.617416,2.385319,-0.440980,0.231451
0.020000,2.570209,2.798218,0.602167,1.665286,2.393531,0.410596,0.246233
0.020000,2.603370,2.806822,0.636426,1.712981,2.384754,-0.438821,0.261521
0.020000,2.637312,2.816194,0.671638,1.760606,2.381259,-0.174779,0.277311
0.020000,2.672011,2.826377,0.707800,1.808088,2.374071,-0.359387,0.293593
0.020000,2.707441,2.837413,0.744910,1.855479,2.369573,-0.224906,0.310356
0.020000,2.743572,2.849345,0.782960,1.902522,2.352140,-0.871648,0.327585
0.020000,2.780375,2.862216,0.821948,1.949399,2.343853,-0.414344,0.345263
0.020000,2.817812,2.876065,0.861866,1.995872,2.323644,-1.010435,0.363366
0.020000,2.855849,2.890933,0.902705,2.041975,2.305146,-0.924909,0.381871
0.020000,2.894446,2.906857,0.944458,2.087627,2.282614,-1.126610,0.400747
0.020000,2.933561,2.923875,0.987114,2.132813,2.259302,-1.165579,0.419963
0.020000,2.973149,2.942018,1.030662,2.177404,2.229541,-1.488063,0.439480
0.020000,3.013166,2.961318,1.075090,2.221413,2.200464,-1.453839,0.459260
0.020000,3.053565,2.981802,1.120385,2.264737,2.166161,-1.715178,0.479259
0.020000,3.094093,3.003384,1.166302,2.295835,1.554931,-30.561504,0.499329
0.020000,3.134312,3.025844,1.212367,2.303244,0.370424,-59.225347,0.519230
0.020000,3.173999,3.049047,1.258339,2.298622,-0.231085,-30.075417,0.538827
0.020000,3.213142,3.072963,1.304210,2.293551,-0.253548,-1.123168,0.558092
0.020000,3.251728,3.097564,1.349971,2.288068,-0.274155,-1.030351,0.576996
0.020000,3.289750,3.122818,1.395616,2.282212,-0.292822,-0.933335,0.595516
0.020000,3.327201,3.148693,1.441136,2.276022,-0.309468,-0.832312,0.613630
0.020000,3.364077,3.175159,1.486527,2.269536,-0.324309,-0.742044,0.631318
0.020000,3.400377,3.202185,1.531783,2.262795,-0.337036,-0.636354,0.648564
0.020000,3.436102,3.229740,1.576899,2.255840,-0.347787,-0.537568,0.665353
0.020000,3.471255,3.257793,1.621874,2.248706,-0.356677,-0.444469,0.681674
0.020000,3.505839,3.286315,1.666702,2.241430,-0.363796,-0.355957,0.697518
0.020000,3.539862,3.315278,1.711383,2.234045,-0.369251,-0.272768,0.712877
0.020000,3.573331,3.344653,1.755915,2.226582,-0.373160,-0.195447,0.727746
0.020000,3.606255,3.374414,1.800296,2.219069,-0.375647,-0.124355,0.742121
0.020000,3.638645,3.404534,1.844527,2.211532,-0.376841,-0.059695,0.756003
0.020000,3.670513,3.434988,1.888607,2.203993,-0.376966,-0.006243,0.769389
0.020000,3.701870,3.465754,1.932536,2.196474,-0.375944,0.051071,0.782282
0.020000,3.732730,3.496808,1.976316,2.188996,-0.373900,0.102202,0.794684
0.020000,3.763107,3.528128,2.019947,2.181572,-0.371187,0.135652,0.806599
0.020000,3.793016,3.559693,2.063432,2.174216,-0.367805,0.169099,0.818032
0.020000,3.822470,3.591485,2.106771,2.166939,-0.363863,0.197118,0.828986
0.020000,3.851485,3.623484,2.149966,2.159750,-0.359462,0.220072,0.839469
0.020000,3.880076,3.655672,2.193019,2.152653,-0.354847,0.230724,0.849486
0.020000,3.908259,3.688033,2.235932,2.145656,-0.349841,0.250303,0.859045
0.020000,3.936049,3.720552,2.278707,2.138766,-0.344471,0.268498,0.868151
0.020000,3.963463,3.753211,2.321347,2.131985,-0.339085,0.269328,0.876812
0.020000,3.990514,3.785999,2.363853,2.125312,-0.333630,0.272749,0.885035
0.020000,4.017219,3.818899,2.406228,2.118749,-0.328163,0.273309,0.892827
0.020000,4.043594,3.851901,2.448474,2.112294,-0.322737,0.271331,0.900196
0.020000,4.069653,3.884990,2.490593,2.105946,-0.317395,0.267112,0.907147
0.020000,4.095412,3.918156,2.532587,2.099702,-0.312183,0.260565,0.913689
0.020000,4.120885,3.951387,2.574458,2.093545,-0.307859,0.216202,0.919828
0.020000,4.146087,3.984673,2.616208,2.087501,-0.302217,0.282105,0.925570
0.020000,4.171033,4.018002,2.657839,2.081550,-0.297539,0.233929,0.930921
0.020000,4.195737,4.051365,2.699352,2.075688,-0.293094,0.222214,0.935888
0.020000,4.220213,4.084753,2.740751,2.069908,-0.289033,0.203044,0.940474
0.020000,4.244475,4.118156,2.782035,2.064196,-0.285561,0.173640,0.944687
0.020000,4.268536,4.151564,2.823206,2.058572,-0.281240,0.216039,0.948531
0.020000,4.292410,4.184971,2.864266,2.053014,-0.277872,0.168390,0.952009
0.020000,4.316110,4.218366,2.905217,2.047516,-0.274918,0.147700,0.955127
0.020000,4.339649,4.251741,2.946058,2.042067,-0.272460,0.122915,0.957887
0.020000,4.363040,4.285089,2.986791,2.036678,-0.269452,0.150409,0.960294
0.020000,4.386295,4.318402,3.027418,2.031331,-0.267305,0.107332,0.962350
0.020000,4.409427,4.351671,3.067938,2.026018,-0.265681,0.081199,0.964057
0.020000,4.432448,4.384888,3.108353,2.020738,-0.263985,0.084796,0.965418
0.020000,4.455369,4.418047,3.148663,2.015486,-0.262613,0.068578,0.966434
0.020000,4.478203,4.451138,3.188868,2.010251,-0.261760,0.042672,0.967106
0.020000,4.500961,4.484155,3.228969,2.005027,-0.261189,0.028555,0.967436
