dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000200,0.020000,1.000000,50.000000,6.282196
0.020000,0.000000,0.000000,0.001000,0.060000,2.000000,50.000000,6.282236
0.020000,0.000000,0.000000,0.002600,0.100000,2.000000,0.000000,6.282316
0.020000,0.000000,0.000000,0.005000,0.140000,2.000000,0.000000,6.282436
0.020000,0.000000,0.000000,0.008200,0.180000,2.000000,-0.000000,6.282596
0.020000,0.000000,0.000000,0.012200,0.220000,2.000000,0.000000,6.282795
0.020000,0.000000,0.000000,0.017000,0.260000,2.000000,0.000000,6.283035
0.020000,0.002601,0.000000,0.022600,0.300000,2.000000,-0.000000,0.000130
0.020000,0.009002,0.000002,0.029000,0.340000,2.000000,0.000000,0.000450
0.020000,0.016202,0.000007,0.036200,0.380000,2.000000,-0.000000,0.000811
0.020000,0.024202,0.000015,0.044200,0.420000,2.000000,0.000000,0.001212
0.020000,0.033002,0.000027,0.053000,0.460000,2.000000,0.000000,0.001654
0.020000,0.042601,0.000045,0.062600,0.500000,2.000000,-0.000000,0.002137
0.020000,0.053002,0.000070,0.073000,0.540000,2.000000,0.000000,0.002661
0.020000,0.064202,0.000103,0.084200,0.580000,2.000000,-0.000000,0.003226
0.020000,0.076201,0.000146,0.096200,0.620000,2.000000,0.000000,0.003832
0.020000,0.089002,0.000199,0.109000,0.660000,2.000000,0.000000,0.004480
0.020000,0.102601,0.000265,0.122600,0.700000,2.000000,-0.000000,0.005170
0.020000,0.117000,0.000344,0.137000,0.740000,2.000000,0.000000,0.005902
0.020000,0.132201,0.000440,0.152200,0.780000,2.000000,0.000000,0.006676
0.020000,0.148201,0.000553,0.168200,0.820000,2.000000,-0.000000,0.007493
0.020000,0.165000,0.000686,0.185000,0.860000,2.000000,0.000000,0.008353
0.020000,0.182599,0.000841,0.202600,0.900000,2.000000,0.000000,0.009257
0.020000,0.200997,0.001020,0.221000,0.940000,2.000000,-0.000000,0.010204
0.020000,0.220196,0.001226,0.240200,0.980000,2.000000,0.000000,0.011195
0.020000,0.239995,0.001457,0.260000,1.000000,1.000000,-50.000000,0.012220
0.020000,0.259993,0.001712,0.280000,1.000000,0.000000,-50.000000,0.013258
0.020000,0.279991,0.001988,0.300000,1.000000,0.000000,0.000000,0.014300
0.020000,0.299989,0.002284,0.320000,1.000000,0.000000,0.000000,0.015344
0.020000,0.319987,0.002602,0.340000,1.000000,0.000000,0.000000,0.016392
0.020000,0.339984,0.002940,0.360000,1.000000,0.000000,0.000000,0.017444
0.020000,0.359981,0.003299,0.380000,1.000000,0.000000,0.000000,0.018498
0.020000,0.379978,0.003680,0.400000,1.000000,0.000000,0.000000,0.019556
0.020000,0.399974,0.004082,0.420000,1.000000,0.000000,0.000000,0.020616
0.020000,0.419969,0.004504,0.440000,1.000000,0.000000,0.000000,0.021681
0.020000,0.439964,0.004949,0.460000,1.000000,0.000000,0.000000,0.022748
0.020000,0.459959,0.005414,0.480000,1.000000,0.000000,0.000000,0.023818
0.020000,0.479953,0.005901,0.500000,1.000000,0.000000,0.000000,0.024892
0.020000,0.499947,0.006410,0.520000,1.000000,0.000000,0.000000,0.025970
0.020000,0.519940,0.006940,0.540000,1.000000,0.000000,0.000000,0.027050
0.020000,0.539932,0.007492,0.560000,1.000000,0.000000,0.000000,0.028134
0.020000,0.559924,0.008065,0.580000,1.000000,0.000000,0.000000,0.029221
0.020000,0.579915,0.008661,0.600000,1.000000,0.000000,0.000000,0.030312
0.020000,0.599906,0.009278,0.620000,1.000000,0.000000,0.000000,0.031406
0.020000,0.619896,0.009917,0.640000,1.000000,0.000000,0.000000,0.032503
0.020000,0.639885,0.010578,0.660000,1.000000,0.000000,0.000000,0.033604
0.020000,0.659873,0.011261,0.680000,1.000000,0.000000,0.000000,0.034708
0.020000,0.679861,0.011966,0.700000,1.000000,0.000000,0.000000,0.035815
0.020000,0.699847,0.012693,0.720000,1.000000,0.000000,0.000000,0.036926
0.020000,0.719833,0.013442,0.740000,1.000000,0.000000,0.000000,0.038041
0.020000,0.739818,0.014214,0.760000,1.000000,0.000000,0.000000,0.039159
0.020000,0.759802,0.015008,0.780000,1.000000,0.000000,0.000000,0.040280
0.020000,0.779785,0.015825,0.800000,1.000000,0.000000,0.000000,0.041405
0.020000,0.799767,0.016664,0.820000,1.000000,0.000000,0.000000,0.042533
0.020000,0.819749,0.017526,0.840000,1.000000,0.000000,0.000000,0.043665
0.020000,0.839729,0.018410,0.860000,1.000000,0.000000,0.000000,0.044800
0.020000,0.859708,0.019317,0.880000,1.000000,0.000000,0.000000,0.045939
0.020000,0.879686,0.020247,0.900000,1.000000,0.000000,0.000000,0.047082
0.020000,0.899663,0.021200,0.920000,1.000000,0.000000,0.000000,0.048228
0.020000,0.919640,0.022175,0.940000,1.000000,0.000000,0.000000,0.049378
0.020000,0.939615,0.023174,0.960000,1.000000,0.000000,0.000000,0.050531
0.020000,0.959590,0.024196,0.980000,1.000000,0.000000,0.000000,0.051688
0.020000,0.979563,0.025241,1.000000,1.000000,0.000000,0.000000,0.052848
0.020000,0.999534,0.026309,1.020000,1.000000,0.000000,0.000000,0.054013
0.020000,1.019505,0.027400,1.040000,1.000000,0.000000,0.000000,0.055181
0.020000,1.039474,0.028515,1.060000,1.000000,0.000000,0.000000,0.056352
0.020000,1.059441,0.029653,1.080000,1.000000,0.000000,0.000000,0.057527
0.020000,1.079408,0.030815,1.100000,1.000000,0.000000,0.000000,0.058706
0.020000,1.099372,0.032000,1.120000,1.000000,0.000000,0.000000,0.059889
0.020000,1.119336,0.033209,1.140000,1.000000,0.000000,0.000000,0.061075
0.020000,1.139297,0.034442,1.160000,1.000000,0.000000,0.000000,0.062265
0.020000,1.159258,0.035698,1.180000,1.000000,0.000000,0.000000,0.063459
0.020000,1.179216,0.036978,1.200000,1.000000,0.000000,0.000000,0.064657
0.020000,1.199173,0.038282,1.220000,1.000000,0.000000,0.000000,0.065858
0.020000,1.219129,0.039611,1.240000,1.000000,0.000000,0.000000,0.067063
0.020000,1.239082,0.040963,1.260000,1.000000,0.000000,0.000000,0.068272
0.020000,1.259036,0.042339,1.280000,1.000000,0.000000,0.000000,0.069485
0.020000,1.278987,0.043740,1.300000,1.000000,0.000000,0.000000,0.070702
0.020000,1.298937,0.045165,1.320000,1.000000,0.000000,0.000000,0.071923
0.020000,1.318884,0.046615,1.340000,1.000000,0.000000,0.000000,0.073147
0.020000,1.338830,0.048089,1.360000,1.000000,0.000000,0.000000,0.074376
0.020000,1.358774,0.049587,1.380000,1.000000,0.000000,0.000000,0.075608
0.020000,1.378716,0.051110,1.400000,1.000000,0.000000,0.000000,0.076844
0.020000,1.398656,0.052658,1.420000,1.000000,0.000000,0.000000,0.078084
0.020000,1.418594,0.054230,1.440000,1.000000,0.000000,0.000000,0.079329
0.020000,1.438530,0.055828,1.460000,1.000000,0.000000,0.000000,0.080577
0.020000,1.458464,0.057450,1.480000,1.000000,0.000000,0.000000,0.081829
0.020000,1.478395,0.059097,1.500000,1.000000,0.000000,0.000000,0.083085
0.020000,1.498324,0.060769,1.520000,1.000000,0.000000,0.000000,0.084345
0.020000,1.518252,0.062467,1.540000,1.000000,0.000000,0.000000,0.085609
0.020000,1.538178,0.064190,1.560000,1.000000,0.000000,0.000000,0.086877
0.020000,1.558102,0.065938,1.580000,1.000000,0.000000,0.000000,0.088149
0.020000,1.578024,0.067711,1.600000,1.000000,0.000000,0.000000,0.089426
0.020000,1.597943,0.069510,1.620000,1.000000,0.000000,0.000000,0.090706
0.020000,1.617860,0.071334,1.640000,1.000000,0.000000,0.000000,0.091991
