dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.069463,4.453011,0.000200,0.020000,1.000000,50.000000,0.002231
0.020000,2.069540,4.453011,0.000277,0.003862,-0.806915,-90.345729,0.001978
0.020000,2.069695,4.453011,0.000432,0.007728,0.193306,50.011044,0.001471
0.020000,2.069927,4.453011,0.000664,0.011603,0.193748,0.022092,0.000709
0.020000,2.071204,4.453011,0.001941,0.063873,2.613495,120.987349,6.282878
0.020000,2.075594,4.453007,0.006331,0.219468,7.779745,258.312496,6.281603
0.020000,2.080862,4.452995,0.011599,0.263393,2.196248,-279.174834,6.280069
0.020000,2.087008,4.452970,0.017745,0.307343,2.197542,0.064661,6.278271
0.020000,2.094037,4.452928,0.024774,0.351426,2.204137,0.329795,6.276206
0.020000,2.101949,4.452864,0.032686,0.395610,2.209211,0.253677,6.273870
0.020000,2.110745,4.452770,0.041483,0.439865,2.212753,0.177108,6.271257
0.020000,2.120428,4.452641,0.051167,0.484161,2.214759,0.100313,6.268362
0.020000,2.130996,4.452467,0.061736,0.528465,2.215230,0.023526,6.265181
0.020000,2.142452,4.452241,0.073195,0.572946,2.224033,0.440149,6.261706
0.020000,2.154800,4.451953,0.085546,0.617558,2.230627,0.329678,6.257929
0.020000,2.168041,4.451591,0.098792,0.662306,2.237368,0.337080,6.253843
0.020000,2.182176,4.451145,0.112934,0.707092,2.239326,0.097899,6.249440
0.020000,2.197208,4.450602,0.127976,0.752082,2.249490,0.508209,6.244709
0.020000,2.213139,4.449949,0.143920,0.797242,2.257981,0.424549,6.239641
0.020000,2.229972,4.449170,0.160771,0.842538,2.264790,0.340441,6.234226
0.020000,2.247707,4.448249,0.178530,0.887936,2.269916,0.256277,6.228451
0.020000,2.266351,4.447170,0.197205,0.933755,2.290952,1.051819,6.222303
0.020000,2.285900,4.445915,0.216794,0.979461,2.285286,-0.283308,6.215771
0.020000,2.306363,4.444462,0.237309,1.025738,2.313867,1.429056,6.208837
0.020000,2.327738,4.442791,0.258749,1.071997,2.312962,-0.045240,6.201489
0.020000,2.350027,4.440879,0.281120,1.118551,2.327673,0.735531,6.193710
0.020000,2.373232,4.438701,0.304427,1.165359,2.340394,0.636084,6.185482
0.020000,2.397355,4.436231,0.328676,1.212458,2.354992,0.729853,6.176788
0.020000,2.422400,4.433440,0.353876,1.259973,2.375754,1.038104,6.167607
0.020000,2.448362,4.430299,0.380027,1.307565,2.379556,0.190132,6.157921
0.020000,2.475244,4.426775,0.407139,1.355611,2.402315,1.137924,6.147708
