dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.070143,4.148211,0.000200,0.020000,1.000000,50.000000,0.002231
0.020000,2.070143,4.148211,0.001000,0.060000,2.000000,50.000000,0.001978
0.020000,2.070143,4.148211,0.002600,0.100000,2.000000,0.000000,0.001471
0.020000,2.070143,4.148211,0.005000,0.140000,2.000000,0.000000,0.000709
0.020000,2.071111,4.148211,0.008200,0.180000,2.000000,-0.000000,6.282878
0.020000,2.075111,4.148207,0.012200,0.220000,2.000000,0.000000,6.281603
0.020000,2.079912,4.148196,0.017000,0.260000,2.000000,0.000000,6.280069
0.020000,2.085510,4.148174,0.022600,0.300000,2.000000,-0.000000,6.278271
0.020000,2.091910,4.148136,0.029000,0.340000,2.000000,0.000000,6.276206
0.020000,2.099109,4.148077,0.036200,0.380000,2.000000,-0.000000,6.273870
0.020000,2.107110,4.147992,0.044200,0.420000,2.000000,0.000000,6.271257
0.020000,2.115910,4.147874,0.053000,0.460000,2.000000,0.000000,6.268362
0.020000,2.125508,4.147717,0.062600,0.500000,2.000000,-0.000000,6.265181
0.020000,2.135906,4.147512,0.073000,0.540000,2.000000,0.000000,6.261706
0.020000,2.147103,4.147250,0.084200,0.580000,2.000000,-0.000000,6.257929
0.020000,2.159099,4.146922,0.096200,0.620000,2.000000,0.000000,6.253843
0.020000,2.171892,4.146519,0.109000,0.660000,2.000000,0.000000,6.249440
0.020000,2.185483,4.146028,0.122600,0.700000,2.000000,-0.000000,6.244709
0.020000,2.199871,4.145437,0.137000,0.740000,2.000000,0.000000,6.239641
0.020000,2.215055,4.144735,0.152200,0.780000,2.000000,0.000000,6.234226
0.020000,2.231032,4.143906,0.168200,0.820000,2.000000,-0.000000,6.228451
0.020000,2.247806,4.142935,0.185000,0.860000,2.000000,0.000000,6.222303
0.020000,2.265368,4.141807,0.202600,0.900000,2.000000,0.000000,6.215771
0.020000,2.283723,4.140504,0.221000,0.940000,2.000000,-0.000000,6.208837
0.020000,2.302865,4.139008,0.240200,0.980000,2.000000,0.000000,6.201489
0.020000,2.322791,4.137298,0.260200,1.020000,2.000000,0.000000,6.193710
0.020000,2.343500,4.135355,0.281000,1.060000,2.000000,0.000000,6.185482
0.020000,2.364987,4.133155,0.302600,1.100000,2.000000,0.000000,6.176788
0.020000,2.387250,4.130674,0.325000,1.140000,2.000000,-0.000000,6.167607
0.020000,2.410281,4.127887,0.348200,1.180000,2.000000,0.000000,6.157921
0.020000,2.434077,4.124768,0.372200,1.220000,2.000000,0.000000,6.147708
0.020000,2.458631,4.121286,0.397000,1.260000,2.000000,0.000000,6.136945
0.020000,2.483936,4.117413,0.422600,1.300000,2.000000,0.000000,6.125611
0.020000,2.509984,4.113115,0.449000,1.340000,2.000000,0.000000,6.113680
0.020000,2.536765,4.108359,0.476200,1.380000,2.000000,-0.000000,6.101129
0.020000,2.564268,4.103109,0.504200,1.420000,2.000000,0.000000,6.087933
0.020000,2.592481,4.097327,0.533000,1.460000,2.000000,0.000000,6.074066
0.020000,2.621390,4.090972,0.562600,1.500000,2.000000,0.000000,6.059503
0.020000,2.650981,4.084003,0.593000,1.540000,2.000000,0.000000,6.044218
0.020000,2.681234,4.076376,0.624200,1.580000,2.000000,0.000000,6.028187
0.020000,2.712130,4.068046,0.656200,1.620000,2.000000,0.000000,6.011387
0.020000,2.743647,4.058964,0.689000,1.660000,2.000000,-0.000000,5.993794
0.020000,2.775760,4.049080,0.722600,1.700000,2.000000,0.000000,5.975390
0.020000,2.808441,4.038345,0.757000,1.740000,2.000000,0.000000,5.956156
0.020000,2.841661,4.026705,0.792200,1.780000,2.000000,0.000000,5.936080
0.020000,2.875383,4.014106,0.828200,1.820000,2.000000,0.000000,5.915153
0.020000,2.909572,4.000495,0.865000,1.860000,2.000000,0.000000,5.893372
0.020000,2.944187,3.985815,0.902600,1.900000,2.000000,-0.000000,5.870741
0.020000,2.979184,3.970012,0.941000,1.940000,2.000000,0.000000,5.847270
0.020000,3.014514,3.953031,0.980200,1.980000,2.000000,0.000000,5.822980
0.020000,3.049950,3.934912,1.020000,2.000000,1.000000,-50.000000,5.798027
