dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.070823,3.843412,0.000200,0.020000,1.000000,50.000000,0.002231
0.020000,2.070746,3.843412,0.000277,0.003862,-0.806915,-90.345729,0.001978
0.020000,2.070591,3.843412,0.000432,0.007728,0.193306,50.011044,0.001471
0.020000,2.070359,3.843411,0.000664,0.011603,0.193748,0.022092,0.000709
0.020000,2.071017,3.843411,0.001321,0.032879,1.063792,43.502177,6.282878
0.020000,2.074629,3.843408,0.004934,0.180624,7.387260,316.173392,6.281603
0.020000,2.078962,3.843398,0.009266,0.216619,1.799749,-279.375550,6.280069
0.020000,2.084013,3.843377,0.014317,0.252549,1.796527,-0.161077,6.278271
0.020000,2.089782,3.843343,0.020087,0.288487,1.796908,0.019053,6.276206
0.020000,2.096270,3.843290,0.026575,0.324393,1.795258,-0.082509,6.273870
0.020000,2.103474,3.843214,0.033779,0.360224,1.791555,-0.185156,6.271257
0.020000,2.111392,3.843108,0.041698,0.395939,1.785781,-0.288664,6.268362
0.020000,2.120021,3.842966,0.050328,0.431498,1.777926,-0.392791,6.265181
0.020000,2.129359,3.842782,0.059668,0.467018,1.776013,-0.095656,6.261706
0.020000,2.139406,3.842547,0.069717,0.502446,1.771386,-0.231339,6.257929
0.020000,2.150157,3.842254,0.080473,0.537765,1.765943,-0.272154,6.253843
0.020000,2.161609,3.841892,0.091930,0.572878,1.755659,-0.514194,6.249440
0.020000,2.173759,3.841453,0.104088,0.607899,1.751035,-0.231203,6.244709
0.020000,2.186604,3.840926,0.116944,0.642779,1.744002,-0.351630,6.239641
0.020000,2.200138,3.840300,0.130493,0.677469,1.734534,-0.473393,6.234226
0.020000,2.214358,3.839562,0.144732,0.711922,1.722615,-0.595978,6.228451
0.020000,2.229260,3.838700,0.159659,0.746367,1.722274,-0.017046,6.222303
0.020000,2.244835,3.837700,0.175266,0.780355,1.699378,-1.144801,6.215771
0.020000,2.261082,3.836546,0.191554,0.814406,1.702562,0.159211,6.208837
0.020000,2.277991,3.835224,0.208515,0.848026,1.680991,-1.078545,6.201489
0.020000,2.295556,3.833718,0.226143,0.881437,1.670547,-0.522201,6.193710
0.020000,2.313767,3.832009,0.244435,0.914580,1.657190,-0.667854,6.185482
0.020000,2.332618,3.830078,0.263384,0.947460,1.643957,-0.661660,6.176788
0.020000,2.352100,3.827907,0.282987,0.980143,1.634148,-0.490423,6.167607
0.020000,2.372200,3.825476,0.303234,1.012339,1.609807,-1.217063,6.157921
0.020000,2.392909,3.822761,0.324120,1.044316,1.598892,-0.545765,6.147708
0.020000,2.414216,3.819740,0.345640,1.075989,1.583635,-0.762833,6.136945
0.020000,2.436106,3.816389,0.367784,1.107227,1.561897,-1.086919,6.125611
0.020000,2.458566,3.812684,0.390549,1.138214,1.549339,-0.627878,6.113680
0.020000,2.481581,3.808597,0.413923,1.168726,1.525614,-1.186253,6.101129
0.020000,2.505133,3.804101,0.437901,1.198872,1.507308,-0.915297,6.087933
0.020000,2.529205,3.799167,0.462473,1.228619,1.487324,-0.999219,6.074066
0.020000,2.553779,3.793765,0.487634,1.258039,1.471023,-0.815044,6.059503
0.020000,2.578835,3.787864,0.513375,1.287078,1.451922,-0.955037,6.044218
0.020000,2.604351,3.781432,0.539689,1.315689,1.430563,-1.067947,6.028187
0.020000,2.630302,3.774435,0.566567,1.343910,1.411074,-0.974454,6.011387
0.020000,2.656666,3.766838,0.594005,1.371857,1.397317,-0.687837,5.993794
0.020000,2.683418,3.758605,0.621994,1.399496,1.381982,-0.766764,5.975390
0.020000,2.710530,3.749699,0.650531,1.426844,1.367367,-0.730731,5.956156
0.020000,2.737975,3.740083,0.679612,1.454054,1.360494,-0.343677,5.936080
0.020000,2.765722,3.729717,0.709233,1.481008,1.347707,-0.639355,5.915153
0.020000,2.793744,3.718561,0.739393,1.508033,1.351264,0.177849,5.893372
0.020000,2.822008,3.706574,0.770094,1.535053,1.351014,-0.012483,5.870741
0.020000,2.850485,3.693715,0.801340,1.562287,1.361672,0.532897,5.847270
0.020000,2.879143,3.679942,0.833136,1.589782,1.374769,0.654858,5.822980
0.020000,2.907807,3.665286,0.865329,1.609674,0.994609,-19.008027,5.798027
0.020000,2.936170,3.649872,0.897611,1.614089,0.220721,-38.694369,5.772708
