dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000059,0.304800,0.000200,0.020000,1.000000,50.000000,0.000194
0.020000,-0.000051,0.304800,0.000208,0.000396,-0.980215,-99.010772,0.000168
0.020000,-0.000035,0.304800,0.000224,0.000789,0.019655,49.993527,0.000116
0.020000,-0.000012,0.304800,0.000247,0.001177,0.019396,-0.012943,0.000039
0.020000,0.001993,0.304800,0.002252,0.100261,4.954220,246.741165,6.283122
0.020000,0.006032,0.304799,0.006291,0.201930,5.083459,6.461960,6.282996
0.020000,0.010877,0.304798,0.011137,0.242280,2.017487,-153.298590,6.282846
0.020000,0.016530,0.304796,0.016789,0.282624,2.017182,-0.015245,6.282674
0.020000,0.022989,0.304792,0.023248,0.322947,2.016192,-0.049523,6.282481
0.020000,0.030254,0.304786,0.030513,0.363251,2.015175,-0.050854,6.282267
0.020000,0.038324,0.304778,0.038584,0.403530,2.013939,-0.061769,6.282036
0.020000,0.047200,0.304766,0.047459,0.443779,2.012449,-0.074520,6.281788
0.020000,0.056880,0.304751,0.057139,0.484010,2.011582,-0.043325,6.281525
0.020000,0.067364,0.304733,0.067623,0.524198,2.009389,-0.109648,6.281249
0.020000,0.078651,0.304709,0.078911,0.564361,2.008149,-0.062017,6.280963
0.020000,0.090741,0.304680,0.091000,0.604487,2.006308,-0.092045,6.280669
0.020000,0.103633,0.304646,0.103892,0.644574,2.004353,-0.097773,6.280368
0.020000,0.117325,0.304605,0.117584,0.684621,2.002355,-0.099884,6.280065
0.020000,0.131817,0.304558,0.132077,0.724627,2.000298,-0.102866,6.279762
0.020000,0.147109,0.304503,0.147368,0.764580,1.997630,-0.133394,6.279461
0.020000,0.163199,0.304441,0.163458,0.804496,1.995807,-0.091113,6.279166
0.020000,0.180086,0.304371,0.180345,0.844352,1.992771,-0.151820,6.278881
0.020000,0.197769,0.304292,0.198029,0.884162,1.990497,-0.113681,6.278608
0.020000,0.216247,0.304205,0.216507,0.923915,1.987663,-0.141726,6.278351
0.020000,0.235519,0.304110,0.235779,0.963610,1.984775,-0.144411,6.278114
0.020000,0.255583,0.304006,0.255844,1.003246,1.981806,-0.148422,6.277901
0.020000,0.276439,0.303893,0.276700,1.042821,1.978710,-0.154817,6.277716
0.020000,0.298086,0.303773,0.298347,1.082327,1.975344,-0.168275,6.277563
0.020000,0.320521,0.303646,0.320782,1.121771,1.972168,-0.158841,6.277447
0.020000,0.343743,0.303512,0.344005,1.161142,1.968551,-0.180822,6.277372
0.020000,0.367752,0.303372,0.368014,1.200442,1.964990,-0.178035,6.277343
0.020000,0.392545,0.303227,0.392807,1.239666,1.961227,-0.188152,6.277365
0.020000,0.418120,0.303079,0.418384,1.278813,1.957325,-0.195128,6.277443
0.020000,0.444477,0.302929,0.444741,1.317878,1.953265,-0.202980,6.277582
0.020000,0.471614,0.302780,0.471878,1.356861,1.949161,-0.205231,6.277788
0.020000,0.499529,0.302633,0.499794,1.395756,1.944734,-0.221320,6.278067
0.020000,0.528220,0.302491,0.528485,1.434562,1.940287,-0.222376,6.278424
0.020000,0.557685,0.302357,0.557950,1.473272,1.935497,-0.239478,6.278865
0.020000,0.587923,0.302234,0.588188,1.511887,1.930759,-0.236913,6.279397
0.020000,0.618930,0.302126,0.619196,1.550401,1.925727,-0.251600,6.280027
0.020000,0.650706,0.302037,0.650972,1.588811,1.920499,-0.261398,6.280762
0.020000,0.683249,0.301972,0.683515,1.627113,1.915073,-0.271277,6.281607
0.020000,0.716555,0.301935,0.716820,1.665296,1.909153,-0.296011,6.282572
0.020000,0.750622,0.301933,0.750888,1.703365,1.903444,-0.285446,0.000479
0.020000,0.785448,0.301970,0.785714,1.741305,1.897014,-0.321494,0.001705
