dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000059,-0.304800,0.000200,0.020000,1.000000,50.000000,0.000194
0.020000,0.000051,-0.304800,0.000208,0.000396,-0.980215,-99.010772,0.000168
0.020000,0.000035,-0.304800,0.000224,0.000789,0.019655,49.993527,0.000116
0.020000,0.000012,-0.304800,0.000247,0.001177,0.019396,-0.012943,0.000039
0.020000,0.001955,-0.304800,0.002190,0.097147,4.798538,238.957075,6.283122
0.020000,0.005916,-0.304801,0.006152,0.198077,5.046483,12.397268,6.282996
0.020000,0.010671,-0.304802,0.010906,0.237714,1.981827,-153.232786,6.282846
0.020000,0.016218,-0.304804,0.016453,0.277375,1.983072,0.062234,6.282674
0.020000,0.022559,-0.304808,0.022795,0.317053,1.983898,0.041318,6.282481
0.020000,0.029694,-0.304814,0.029930,0.356752,1.984952,0.052655,6.282267
0.020000,0.037624,-0.304822,0.037859,0.396473,1.986042,0.054509,6.282036
0.020000,0.046348,-0.304833,0.046583,0.436216,1.987131,0.054468,6.281788
0.020000,0.055868,-0.304848,0.056103,0.475997,1.989082,0.097557,6.281525
0.020000,0.066184,-0.304866,0.066419,0.515797,1.989976,0.044679,6.281249
0.020000,0.077297,-0.304889,0.077532,0.555638,1.992051,0.103777,6.280963
0.020000,0.089207,-0.304918,0.089442,0.595513,1.993780,0.086420,6.280669
0.020000,0.101915,-0.304952,0.102151,0.635426,1.995637,0.092877,6.280368
0.020000,0.115423,-0.304992,0.115658,0.675380,1.997694,0.102832,6.280065
0.020000,0.129730,-0.305038,0.129966,0.715379,1.999932,0.111880,6.279762
0.020000,0.144839,-0.305092,0.145074,0.755415,2.001805,0.093663,6.279461
0.020000,0.160749,-0.305154,0.160984,0.795510,2.004751,0.147335,6.279166
0.020000,0.177461,-0.305224,0.177697,0.835644,2.006736,0.099221,6.278881
0.020000,0.194978,-0.305302,0.195214,0.875839,2.009712,0.148829,6.278608
0.020000,0.213300,-0.305388,0.213536,0.916086,2.012373,0.133008,6.278351
0.020000,0.232427,-0.305483,0.232664,0.956391,2.015219,0.142318,6.278114
0.020000,0.252362,-0.305586,0.252599,0.996755,2.018227,0.150406,6.277901
0.020000,0.273105,-0.305697,0.273342,1.037182,2.021352,0.156249,6.277716
0.020000,0.294658,-0.305817,0.294896,1.077671,2.024456,0.155208,6.277563
0.020000,0.317023,-0.305944,0.317260,1.118231,2.027999,0.177154,6.277447
0.020000,0.340199,-0.306078,0.340438,1.158858,2.031361,0.168061,6.277372
0.020000,0.364190,-0.306218,0.364429,1.199559,2.035039,0.183933,6.277343
0.020000,0.388997,-0.306363,0.389235,1.240335,2.038785,0.187293,6.277365
0.020000,0.414620,-0.306511,0.414859,1.281188,2.042669,0.194189,6.277443
0.020000,0.441062,-0.306661,0.441302,1.322122,2.046683,0.200683,6.277582
0.020000,0.468324,-0.306811,0.468565,1.363141,2.050950,0.213351,6.277788
0.020000,0.496409,-0.306959,0.496649,1.404245,2.055205,0.212752,6.278067
0.020000,0.525317,-0.307102,0.525558,1.445440,2.059764,0.227962,6.278424
0.020000,0.555051,-0.307237,0.555293,1.486727,2.064320,0.227827,6.278865
0.020000,0.585613,-0.307361,0.585855,1.528113,2.069289,0.248424,6.279397
0.020000,0.617005,-0.307471,0.617247,1.569599,2.074342,0.252648,6.280027
0.020000,0.649229,-0.307561,0.649471,1.611191,2.079600,0.262925,6.280762
0.020000,0.682287,-0.307627,0.682529,1.652893,2.085088,0.274382,6.281607
0.020000,0.716181,-0.307665,0.716423,1.694704,2.090530,0.272115,6.282572
0.020000,0.750914,-0.307667,0.751156,1.736637,2.096676,0.307294,0.000479
