dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.593769,2.877678,0.000200,0.020000,1.000000,50.000000,4.698208
0.020000,4.593770,2.877741,0.000263,0.003165,-0.841731,-92.086575,4.698416
0.020000,4.593772,2.877868,0.000390,0.006334,0.158454,50.009299,4.698832
0.020000,4.593775,2.878058,0.000580,0.009511,0.158827,0.018612,4.699456
0.020000,4.593743,2.875547,0.003092,0.125572,5.803043,282.210834,4.700290
0.020000,4.593701,2.871866,0.006773,0.184059,2.924349,-143.934707,4.701335
0.020000,4.593655,2.867450,0.011189,0.220803,1.837201,-54.357422,4.702593
0.020000,4.593608,2.862300,0.016340,0.257532,1.836434,-0.038345,4.704068
0.020000,4.593564,2.856416,0.022224,0.294208,1.833826,-0.130414,4.705762
0.020000,4.593526,2.849800,0.028840,0.330795,1.829359,-0.223342,4.707678
0.020000,4.593500,2.842453,0.036186,0.367334,1.826948,-0.120559,4.709820
0.020000,4.593488,2.834377,0.044263,0.403834,1.824988,-0.097973,4.712193
0.020000,4.593498,2.825571,0.053068,0.440263,1.821452,-0.176798,4.714802
0.020000,4.593535,2.816040,0.062600,0.476573,1.815491,-0.298078,4.717652
0.020000,4.593605,2.805784,0.072856,0.512801,1.811425,-0.203271,4.720748
0.020000,4.593715,2.794807,0.083834,0.548907,1.805290,-0.306764,4.724098
0.020000,4.593873,2.783107,0.095534,0.585014,1.805335,0.002255,4.727709
0.020000,4.594087,2.770693,0.107951,0.620834,1.791032,-0.715169,4.731588
0.020000,4.594366,2.757562,0.121085,0.656699,1.793207,0.108766,4.735744
0.020000,4.594720,2.743720,0.134931,0.692308,1.780491,-0.635818,4.740186
0.020000,4.595159,2.729171,0.149487,0.727782,1.773679,-0.340569,4.744924
0.020000,4.595694,2.713918,0.164748,0.763093,1.765534,-0.407258,4.749968
0.020000,4.596337,2.697965,0.180715,0.798309,1.760811,-0.236170,4.755332
0.020000,4.597099,2.681319,0.197379,0.833202,1.744641,-0.808472,4.761025
0.020000,4.597996,2.663982,0.214738,0.867971,1.738469,-0.308615,4.767062
0.020000,4.599039,2.645962,0.232789,0.902523,1.727599,-0.543501,4.773458
0.020000,4.600246,2.627264,0.251525,0.936841,1.715881,-0.585911,4.780228
0.020000,4.601631,2.607896,0.270943,0.970900,1.702990,-0.644531,4.787389
0.020000,4.603212,2.587865,0.291036,1.004627,1.686348,-0.832114,4.794957
0.020000,4.605007,2.567180,0.311799,1.038147,1.675970,-0.518886,4.802952
0.020000,4.607035,2.545850,0.333225,1.071331,1.659225,-0.837262,4.811395
0.020000,4.609315,2.523884,0.355309,1.104180,1.642453,-0.838611,4.820306
0.020000,4.611870,2.501294,0.378043,1.136713,1.626627,-0.791295,4.829710
0.020000,4.614720,2.478092,0.401419,1.168789,1.603816,-1.140542,4.839630
0.020000,4.617891,2.454292,0.425430,1.200520,1.586550,-0.863298,4.850093
0.020000,4.621407,2.429907,0.450067,1.231859,1.566924,-0.981301,4.861127
0.020000,4.625294,2.404954,0.475321,1.262724,1.543246,-1.183919,4.872760
0.020000,4.629579,2.379450,0.501182,1.293061,1.516862,-1.319173,4.885024
0.020000,4.634292,2.353414,0.527642,1.322980,1.495937,-1.046237,4.897951
0.020000,4.639462,2.326865,0.554689,1.352346,1.468324,-1.380646,4.911575
0.020000,4.645122,2.299827,0.582313,1.381211,1.443241,-1.254166,4.925933
0.020000,4.651302,2.272325,0.610501,1.409419,1.410397,-1.642188,4.941060
0.020000,4.658040,2.244383,0.639244,1.437128,1.385469,-1.246438,4.956995
0.020000,4.665368,2.216030,0.668529,1.464250,1.356104,-1.468253,4.973777
0.020000,4.673326,2.187297,0.698344,1.490733,1.324110,-1.599653,4.991444
0.020000,4.681950,2.158216,0.728676,1.516637,1.295225,-1.444275,5.010036
0.020000,4.691281,2.128822,0.759515,1.541946,1.265464,-1.488040,5.029592
0.020000,4.701358,2.099153,0.790849,1.566699,1.237645,-1.390962,5.050147
0.020000,4.712223,2.069247,0.822668,1.590943,1.212197,-1.272388,5.071736
0.020000,4.723920,2.039145,0.854963,1.614722,1.188942,-1.162752,5.094389
0.020000,4.736427,2.009040,0.887562,1.629967,0.762226,-21.335791,5.118012
0.020000,4.749642,1.979266,0.920137,1.628767,-0.059979,-41.110261,5.142367
0.020000,4.763511,1.949989,0.952533,1.619801,-0.448288,-19.415452,5.167313
0.020000,4.778037,1.921223,0.984759,1.611279,-0.426118,1.108509,5.192817
0.020000,4.793224,1.892980,1.016826,1.603342,-0.396858,1.462984,5.218841
0.020000,4.809076,1.865272,1.048748,1.596093,-0.362437,1.721071,5.245341
0.020000,4.825595,1.838108,1.080540,1.589629,-0.323194,1.962122,5.272264
0.020000,4.842784,1.811496,1.112222,1.584066,-0.278160,2.251733,5.299553
0.020000,4.860645,1.785440,1.143811,1.579465,-0.230025,2.406749,5.327144
0.020000,4.879180,1.759948,1.175329,1.575906,-0.177963,2.603059,5.354968
0.020000,4.898388,1.735021,1.206799,1.573484,-0.121094,2.843481,5.382951
0.020000,4.918272,1.710662,1.238243,1.572209,-0.063774,2.865990,5.411018
0.020000,4.938831,1.686872,1.269685,1.572126,-0.004150,2.981221,5.439090
0.020000,4.960064,1.663651,1.301150,1.573257,0.056567,3.035811,5.467088
0.020000,4.981970,1.640999,1.332662,1.575570,0.115669,2.955098,5.494935
0.020000,5.004545,1.618914,1.364243,1.579045,0.173705,2.901811,5.522553
0.020000,5.027785,1.597396,1.395915,1.583632,0.229383,2.783922,5.549870
0.020000,5.051686,1.576442,1.427701,1.589268,0.281780,2.619854,5.576818
0.020000,5.076240,1.556050,1.459618,1.595872,0.330217,2.421853,5.603332
0.020000,5.101439,1.536218,1.491685,1.603355,0.374155,2.196886,5.629356
0.020000,5.127272,1.516942,1.523918,1.611619,0.413183,1.951401,5.654837
0.020000,5.153729,1.498220,1.556329,1.620559,0.447025,1.692097,5.679732
0.020000,5.180796,1.480048,1.588930,1.630075,0.475765,1.437000,5.704002
0.020000,5.208459,1.462422,1.621732,1.640061,0.499326,1.178056,5.727618
0.020000,5.236702,1.445337,1.654740,1.650419,0.517907,0.929051,5.750554
0.020000,5.265508,1.428788,1.687961,1.661055,0.531776,0.693447,5.772792
0.020000,5.294859,1.412771,1.721399,1.671871,0.540804,0.451392,5.794321
0.020000,5.324737,1.397277,1.755054,1.682797,0.546302,0.274922,5.815132
0.020000,5.355122,1.382301,1.788930,1.693766,0.548451,0.107405,5.835225
0.020000,5.385995,1.367835,1.823024,1.704690,0.546177,-0.113676,5.854600
0.020000,5.417335,1.353869,1.857334,1.715544,0.542716,-0.173033,5.873264
0.020000,5.449123,1.340397,1.891860,1.726253,0.535446,-0.363529,5.891224
0.020000,5.481339,1.327408,1.926596,1.736808,0.527751,-0.384756,5.908493
0.020000,5.513963,1.314891,1.961538,1.747131,0.516133,-0.580874,5.925084
0.020000,5.546976,1.302838,1.996683,1.757247,0.505800,-0.516646,5.941011
0.020000,5.580360,1.291236,2.032025,1.767109,0.493135,-0.633284,5.956292
0.020000,5.614096,1.280075,2.067559,1.776704,0.479751,-0.669165,5.970943
0.020000,5.648166,1.269342,2.103280,1.786019,0.465762,-0.699484,5.984983
0.020000,5.682553,1.259027,2.139181,1.795055,0.451791,-0.698534,5.998430
0.020000,5.717241,1.249117,2.175257,1.803811,0.437768,-0.701140,6.011302
0.020000,5.752215,1.239601,2.211503,1.812276,0.423248,-0.726013,6.023619
0.020000,5.787460,1.230465,2.247912,1.820460,0.409228,-0.700994,6.035399
0.020000,5.822961,1.221698,2.284479,1.828371,0.395517,-0.685549,6.046660
0.020000,5.858705,1.213287,2.321200,1.836012,0.382060,-0.672848,6.057420
0.020000,5.894679,1.205221,2.358067,1.843388,0.368818,-0.662113,6.067696
0.020000,5.930871,1.197486,2.395077,1.850487,0.354960,-0.692903,6.077506
0.020000,5.967194,1.190086,2.432146,1.853446,0.147939,-10.351059,6.086846
0.020000,6.003374,1.183057,2.469003,1.842831,-0.530778,-33.935818,6.095672
0.020000,6.039106,1.176432,2.505344,1.817047,-1.289187,-37.920464,6.103946
0.020000,6.074265,1.170203,2.541050,1.785301,-1.587270,-14.904154,6.111678
0.020000,6.108833,1.164345,2.576110,1.753031,-1.613506,-1.311816,6.118903
0.020000,6.142794,1.158834,2.610516,1.720267,-1.638227,-1.236023,6.125653
0.020000,6.176134,1.153646,2.644256,1.687048,-1.660933,-1.135296,6.131959
0.020000,6.208839,1.148762,2.677324,1.653393,-1.682751,-1.090932,6.137848
0.020000,6.240897,1.144160,2.709711,1.619343,-1.702482,-0.986546,6.143346
0.020000,6.272298,1.139823,2.741410,1.584937,-1.720336,-0.892665,6.148478
0.020000,6.303030,1.135734,2.772413,1.550162,-1.738737,-0.920085,6.153267
0.020000,6.333085,1.131875,2.802715,1.515080,-1.754083,-0.767266,6.157733
0.020000,6.362454,1.128234,2.832309,1.479695,-1.769275,-0.759595,6.161896
0.020000,6.391129,1.124796,2.861189,1.444018,-1.783844,-0.728463,6.165776
0.020000,6.419103,1.121548,2.889351,1.408086,-1.796577,-0.636641,6.169389
0.020000,6.446368,1.118479,2.916789,1.371895,-1.809563,-0.649314,6.172751
0.020000,6.472920,1.115577,2.943498,1.335480,-1.820734,-0.558557,6.175879
0.020000,6.498751,1.112832,2.969475,1.298843,-1.831881,-0.557369,6.178786
