dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.289000,2.882000,0.000200,0.020000,1.000000,50.000000,4.698208
0.020000,4.289000,2.882000,0.001000,0.060000,2.000000,50.000000,4.698416
0.020000,4.289000,2.882000,0.002600,0.100000,2.000000,0.000000,4.698832
0.020000,4.289000,2.882000,0.005000,0.140000,2.000000,0.000000,4.699456
0.020000,4.288966,2.879235,0.008200,0.180000,2.000000,-0.000000,4.700290
0.020000,4.288919,2.875235,0.012200,0.220000,2.000000,0.000000,4.701335
0.020000,4.288869,2.870436,0.017000,0.260000,2.000000,0.000000,4.702593
0.020000,4.288818,2.864836,0.022600,0.300000,2.000000,-0.000000,4.704068
0.020000,4.288771,2.858436,0.029000,0.340000,2.000000,0.000000,4.705762
0.020000,4.288730,2.851236,0.036200,0.380000,2.000000,-0.000000,4.707678
0.020000,4.288701,2.843236,0.044200,0.420000,2.000000,0.000000,4.709820
0.020000,4.288688,2.834436,0.053000,0.460000,2.000000,0.000000,4.712193
0.020000,4.288699,2.824836,0.062600,0.500000,2.000000,-0.000000,4.714802
0.020000,4.288739,2.814436,0.073000,0.540000,2.000000,0.000000,4.717652
0.020000,4.288815,2.803236,0.084200,0.580000,2.000000,-0.000000,4.720748
0.020000,4.288936,2.791238,0.096200,0.620000,2.000000,0.000000,4.724098
0.020000,4.289109,2.778438,0.109000,0.660000,2.000000,0.000000,4.727709
0.020000,4.289343,2.764841,0.122600,0.700000,2.000000,-0.000000,4.731588
0.020000,4.289650,2.750444,0.137000,0.740000,2.000000,0.000000,4.735744
0.020000,4.290038,2.735248,0.152200,0.780000,2.000000,0.000000,4.740186
0.020000,4.290521,2.719256,0.168200,0.820000,2.000000,-0.000000,4.744924
0.020000,4.291109,2.702467,0.185000,0.860000,2.000000,0.000000,4.749968
0.020000,4.291818,2.684880,0.202600,0.900000,2.000000,0.000000,4.755332
0.020000,4.292660,2.666500,0.221000,0.940000,2.000000,-0.000000,4.761025
0.020000,4.293651,2.647326,0.240200,0.980000,2.000000,0.000000,4.767062
0.020000,4.294808,2.627360,0.260200,1.020000,2.000000,0.000000,4.773458
0.020000,4.296147,2.606602,0.281000,1.060000,2.000000,0.000000,4.780228
0.020000,4.297688,2.585057,0.302600,1.100000,2.000000,0.000000,4.787389
0.020000,4.299451,2.562727,0.325000,1.140000,2.000000,-0.000000,4.794957
0.020000,4.301456,2.539614,0.348200,1.180000,2.000000,0.000000,4.802952
0.020000,4.303727,2.515722,0.372200,1.220000,2.000000,0.000000,4.811395
0.020000,4.306288,2.491055,0.397000,1.260000,2.000000,0.000000,4.820306
0.020000,4.309165,2.465616,0.422600,1.300000,2.000000,0.000000,4.829710
0.020000,4.312384,2.439414,0.449000,1.340000,2.000000,0.000000,4.839630
0.020000,4.315977,2.412453,0.476200,1.380000,2.000000,-0.000000,4.850093
0.020000,4.319972,2.384739,0.504200,1.420000,2.000000,0.000000,4.861127
0.020000,4.324405,2.356282,0.533000,1.460000,2.000000,0.000000,4.872760
0.020000,4.329310,2.327092,0.562600,1.500000,2.000000,0.000000,4.885024
0.020000,4.334725,2.297178,0.593000,1.540000,2.000000,0.000000,4.897951
0.020000,4.340689,2.266554,0.624200,1.580000,2.000000,0.000000,4.911575
0.020000,4.347245,2.235232,0.656200,1.620000,2.000000,0.000000,4.925933
0.020000,4.354437,2.203232,0.689000,1.660000,2.000000,-0.000000,4.941060
0.020000,4.362313,2.170568,0.722600,1.700000,2.000000,0.000000,4.956995
0.020000,4.370922,2.137263,0.757000,1.740000,2.000000,0.000000,4.973777
0.020000,4.380317,2.103340,0.792200,1.780000,2.000000,0.000000,4.991444
0.020000,4.390552,2.068826,0.828200,1.820000,2.000000,0.000000,5.010036
0.020000,4.401686,2.033752,0.865000,1.860000,2.000000,0.000000,5.029592
0.020000,4.413779,1.998151,0.902600,1.900000,2.000000,-0.000000,5.050147
0.020000,4.426892,1.962060,0.941000,1.940000,2.000000,0.000000,5.071736
0.020000,4.441089,1.925522,0.980200,1.980000,2.000000,0.000000,5.094389
0.020000,4.456359,1.888768,1.020000,2.000000,1.000000,-50.000000,5.118012
0.020000,4.472587,1.852210,1.060000,2.000000,0.000000,-50.000000,5.142367
0.020000,4.489711,1.816061,1.100000,2.000000,0.000000,0.000000,5.167313
0.020000,4.507741,1.780357,1.140000,2.000000,0.000000,0.000000,5.192817
0.020000,4.526686,1.745129,1.180000,2.000000,0.000000,0.000000,5.218841
0.020000,4.546549,1.710410,1.220000,2.000000,0.000000,0.000000,5.245341
0.020000,4.567332,1.676235,1.260000,2.000000,0.000000,0.000000,5.272264
0.020000,4.589034,1.642636,1.300000,2.000000,0.000000,0.000000,5.299553
0.020000,4.611650,1.609644,1.340000,2.000000,0.000000,0.000000,5.327144
0.020000,4.635171,1.577293,1.380000,2.000000,0.000000,0.000000,5.354968
0.020000,4.659586,1.545610,1.420000,2.000000,0.000000,0.000000,5.382951
0.020000,4.684880,1.514624,1.460000,2.000000,0.000000,0.000000,5.411018
0.020000,4.711033,1.484360,1.500000,2.000000,0.000000,0.000000,5.439090
0.020000,4.738024,1.454842,1.540000,2.000000,0.000000,0.000000,5.467088
0.020000,4.765830,1.426088,1.580000,2.000000,0.000000,0.000000,5.494935
0.020000,4.794422,1.398117,1.620000,2.000000,0.000000,0.000000,5.522553
0.020000,4.823772,1.370942,1.660000,2.000000,0.000000,0.000000,5.549870
0.020000,4.853848,1.344573,1.700000,2.000000,0.000000,0.000000,5.576818
0.020000,4.884619,1.319018,1.740000,2.000000,0.000000,0.000000,5.603332
0.020000,4.916050,1.294279,1.780000,2.000000,0.000000,0.000000,5.629356
0.020000,4.948108,1.270359,1.820000,2.000000,0.000000,0.000000,5.654837
0.020000,4.980758,1.247253,1.860000,2.000000,0.000000,0.000000,5.679732
0.020000,5.013967,1.224958,1.900000,2.000000,0.000000,0.000000,5.704002
