dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.984231,2.886322,0.000200,0.020000,1.000000,50.000000,4.698208
0.020000,3.984230,2.886259,0.000263,0.003165,-0.841731,-92.086575,4.698416
0.020000,3.984228,2.886132,0.000390,0.006334,0.158454,50.009299,4.698832
0.020000,3.984225,2.885942,0.000580,0.009511,0.158827,0.018612,4.699456
0.020000,3.984188,2.882922,0.003600,0.150989,7.073902,345.753764,4.700290
0.020000,3.984138,2.878604,0.007918,0.215909,3.246017,-191.394268,4.701335
0.020000,3.984084,2.873422,0.013101,0.259162,2.162640,-54.168854,4.702593
0.020000,3.984029,2.867372,0.019151,0.302480,2.165897,0.162862,4.704068
0.020000,3.983977,2.860456,0.026068,0.345835,2.167731,0.091714,4.705762
0.020000,3.983933,2.852672,0.033852,0.389197,2.168136,0.020254,4.707678
0.020000,3.983902,2.844019,0.042504,0.432632,2.171739,0.180129,4.709820
0.020000,3.983889,2.834496,0.052028,0.476166,2.176689,0.247503,4.712193
0.020000,3.983900,2.824100,0.062423,0.519779,2.180629,0.197001,4.714802
0.020000,3.983943,2.812832,0.073692,0.563430,2.182581,0.097619,4.717652
0.020000,3.984026,2.800688,0.085835,0.607184,2.187688,0.255322,4.720748
0.020000,3.984157,2.787669,0.098856,0.651010,2.191304,0.180834,4.724098
0.020000,3.984344,2.773769,0.112757,0.695076,2.203273,0.598441,4.727709
0.020000,3.984599,2.758990,0.127538,0.739061,2.199261,-0.200627,4.731588
0.020000,3.984933,2.743326,0.143206,0.783380,2.215969,0.835431,4.735744
0.020000,3.985356,2.726777,0.159760,0.827703,2.216131,0.008067,4.740186
0.020000,3.985882,2.709341,0.177204,0.872194,2.224570,0.421985,4.744924
0.020000,3.986525,2.691015,0.195541,0.916849,2.232743,0.408621,4.749968
0.020000,3.987299,2.671795,0.214776,0.961778,2.246452,0.685464,4.755332
0.020000,3.988220,2.651682,0.234911,1.006735,2.247863,0.070562,4.761025
0.020000,3.989306,2.630670,0.255951,1.051993,2.262898,0.751726,4.767062
0.020000,3.990576,2.608757,0.277901,1.097472,2.273954,0.552809,4.773458
0.020000,3.992048,2.585941,0.300764,1.143188,2.285761,0.590329,4.780228
0.020000,3.993745,2.562219,0.324547,1.189148,2.298022,0.613096,4.787389
0.020000,3.995689,2.537589,0.349253,1.235301,2.307661,0.481946,4.794957
0.020000,3.997905,2.512048,0.374890,1.281843,2.327105,0.972197,4.802952
0.020000,4.000420,2.485594,0.401463,1.328662,2.340956,0.692551,4.811395
0.020000,4.003261,2.458225,0.428979,1.375804,2.357098,0.807091,4.820306
0.020000,4.006460,2.429939,0.457446,1.423342,2.376888,0.989504,4.829710
0.020000,4.010049,2.400735,0.486869,1.471152,2.390485,0.679856,4.839630
0.020000,4.014062,2.370613,0.517258,1.519425,2.413681,1.159772,4.850093
0.020000,4.018538,2.339571,0.548621,1.568159,2.436692,1.150544,4.861127
0.020000,4.023516,2.307610,0.580967,1.617306,2.457357,1.033277,4.872760
0.020000,4.029041,2.274734,0.614304,1.666853,2.477322,0.998220,4.885024
0.020000,4.035157,2.240943,0.648644,1.716995,2.507114,1.489627,4.897951
0.020000,4.041915,2.206243,0.683996,1.767615,2.531013,1.194964,4.911575
0.020000,4.049368,2.170638,0.720373,1.818831,2.560782,1.488422,4.925933
0.020000,4.057571,2.134139,0.757783,1.870484,2.582629,1.092349,4.941060
0.020000,4.066586,2.096754,0.796239,1.922821,2.616865,1.711824,4.956995
0.020000,4.076475,2.058496,0.835754,1.975755,2.646701,1.491800,4.973777
0.020000,4.087308,2.019384,0.876339,2.029229,2.673680,1.348932,4.991444
0.020000,4.099155,1.979437,0.918005,2.083321,2.704633,1.547673,5.010036
0.020000,4.112092,1.938682,0.960765,2.137981,2.733008,1.418709,5.029592
0.020000,4.126200,1.897148,1.004629,2.193205,2.761181,1.408663,5.050147
0.020000,4.141560,1.854873,1.049608,2.248965,2.787992,1.340545,5.071736
0.020000,4.158259,1.811900,1.095712,2.305185,2.811031,1.151958,5.094389
0.020000,4.176292,1.768497,1.142712,2.349985,2.239969,-28.553078,5.118012
0.020000,4.195531,1.725153,1.190133,2.371085,1.055005,-59.248230,5.142367
0.020000,4.215911,1.682134,1.237736,2.380119,0.451682,-30.166134,5.167313
0.020000,4.237445,1.639491,1.285508,2.388619,0.425029,-1.332673,5.192817
0.020000,4.260147,1.597277,1.333439,2.396541,0.396088,-1.447021,5.218841
0.020000,4.284021,1.555548,1.381515,2.403780,0.361963,-1.706272,5.245341
0.020000,4.309068,1.514362,1.429719,2.410227,0.322364,-1.979937,5.272264
0.020000,4.335283,1.473776,1.478035,2.415815,0.279372,-2.149582,5.299553
0.020000,4.362654,1.433848,1.526444,2.420413,0.229892,-2.474016,5.327144
0.020000,4.391162,1.394638,1.574923,2.423944,0.176550,-2.667113,5.354968
0.020000,4.420784,1.356199,1.623450,2.426394,0.122489,-2.703056,5.382951
0.020000,4.451487,1.318586,1.672003,2.427655,0.063088,-2.970015,5.411018
0.020000,4.483234,1.281849,1.720558,2.427726,0.003538,-2.977535,5.439090
0.020000,4.515984,1.246032,1.769090,2.426615,-0.055535,-2.953642,5.467088
0.020000,4.549690,1.211178,1.817576,2.424300,-0.115760,-3.011261,5.494935
0.020000,4.584299,1.177320,1.865993,2.420824,-0.173794,-2.901667,5.522553
0.020000,4.619758,1.144488,1.914318,2.416238,-0.229293,-2.774965,5.549870
0.020000,4.656010,1.112704,1.962530,2.410607,-0.281594,-2.615042,5.576818
0.020000,4.692997,1.081985,2.010610,2.404007,-0.329975,-2.419038,5.603332
0.020000,4.730661,1.052341,2.058540,2.396530,-0.373870,-2.194764,5.629356
0.020000,4.768944,1.023776,2.106306,2.388271,-0.412911,-1.952045,5.654837
0.020000,4.807788,0.996287,2.153893,2.379333,-0.446917,-1.700314,5.679732
0.020000,4.847138,0.969867,2.201289,2.369822,-0.475548,-1.431570,5.704002
0.020000,4.886941,0.944505,2.248486,2.359841,-0.499039,-1.174522,5.727618
0.020000,4.927146,0.920182,2.295476,2.349491,-0.517502,-0.923144,5.750554
0.020000,4.967706,0.896880,2.342253,2.338868,-0.531184,-0.684097,5.772792
0.020000,5.008577,0.874575,2.388814,2.328047,-0.541054,-0.493506,5.794321
0.020000,5.049716,0.853241,2.435156,2.317123,-0.546185,-0.256553,5.815132
0.020000,5.091087,0.832849,2.481280,2.306176,-0.547341,-0.057790,5.835225
0.020000,5.132654,0.813370,2.527185,2.295237,-0.546967,0.018703,5.854600
0.020000,5.174386,0.794774,2.572873,2.284403,-0.541669,0.264901,5.873264
0.020000,5.216255,0.777028,2.618346,2.273684,-0.535942,0.286308,5.891224
0.020000,5.258234,0.760101,2.663610,2.263161,-0.526185,0.487886,5.908493
0.020000,5.300300,0.743962,2.708666,2.252805,-0.517808,0.418817,5.925084
0.020000,5.342433,0.728578,2.753520,2.242709,-0.504791,0.650850,5.941011
0.020000,5.384616,0.713918,2.798177,2.232859,-0.492513,0.613917,5.956292
0.020000,5.426831,0.699950,2.842642,2.223269,-0.479461,0.652587,5.970943
0.020000,5.469064,0.686646,2.886921,2.213949,-0.466010,0.672578,5.984983
0.020000,5.511302,0.673976,2.931020,2.204913,-0.451826,0.709167,5.998430
0.020000,5.553536,0.661910,2.974943,2.196165,-0.437388,0.721940,6.011302
0.020000,5.595755,0.650422,3.018697,2.187694,-0.423545,0.692148,6.023619
0.020000,5.637950,0.639484,3.062287,2.179507,-0.409341,0.710179,6.035399
0.020000,5.680115,0.629071,3.105719,2.171602,-0.395234,0.705372,6.046660
0.020000,5.722244,0.619157,3.148998,2.163973,-0.381461,0.688651,6.057420
0.020000,5.764331,0.609720,3.192131,2.156609,-0.368200,0.663038,6.067696
0.020000,5.806371,0.600735,3.235120,2.149479,-0.356510,0.584476,6.077506
0.020000,5.848273,0.592198,3.277883,2.138123,-0.567805,-10.564710,6.086846
0.020000,5.889735,0.584143,3.320120,2.111861,-1.313084,-37.263971,6.095672
0.020000,5.930426,0.576598,3.361505,2.069234,-2.131374,-40.914498,6.103946
0.020000,5.970226,0.569547,3.401924,2.020975,-2.412935,-14.078036,6.111678
0.020000,6.009136,0.562953,3.441389,1.973251,-2.386228,1.335335,6.118903
0.020000,6.047159,0.556782,3.479909,1.926016,-2.361739,1.224438,6.125653
