dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000301,0.304800,0.000200,0.020000,1.000000,50.000000,6.282196
0.020000,0.000289,0.304800,0.000212,0.000608,-0.969579,-98.478954,6.282236
0.020000,0.000265,0.304800,0.000237,0.001217,0.030428,50.000365,6.282316
0.020000,0.000228,0.304800,0.000273,0.001826,0.030443,0.000730,6.282436
0.020000,0.000180,0.304800,0.000322,0.002435,0.030465,0.001096,6.282596
0.020000,0.000119,0.304800,0.000383,0.003045,0.030494,0.001462,6.282795
0.020000,0.000046,0.304800,0.000456,0.003656,0.030531,0.001828,6.283035
0.020000,0.002561,0.304800,0.002972,0.125788,6.106641,303.805499,0.000130
0.020000,0.008865,0.304802,0.009275,0.315185,9.469831,168.159507,0.000450
0.020000,0.015954,0.304806,0.016364,0.354457,1.963596,-375.311716,0.000811
0.020000,0.023832,0.304814,0.024242,0.393892,1.971734,0.406862,0.001212
0.020000,0.032498,0.304827,0.032908,0.433295,1.970184,-0.077487,0.001654
0.020000,0.041950,0.304845,0.042360,0.472588,1.964629,-0.277761,0.002137
0.020000,0.052191,0.304869,0.052601,0.512073,1.974247,0.480914,0.002661
0.020000,0.063218,0.304902,0.063629,0.551362,1.964447,-0.489977,0.003226
0.020000,0.075033,0.304943,0.075444,0.590749,1.969377,0.246485,0.003832
0.020000,0.087637,0.304996,0.088047,0.630173,1.971183,0.090295,0.004480
0.020000,0.101025,0.305060,0.101435,0.669425,1.962587,-0.429784,0.005170
0.020000,0.115202,0.305139,0.115612,0.708841,1.970796,0.410458,0.005902
0.020000,0.130166,0.305233,0.130577,0.748256,1.970751,-0.002279,0.006676
0.020000,0.145917,0.305345,0.146328,0.787554,1.964936,-0.290769,0.007493
0.020000,0.162454,0.305476,0.162866,0.826872,1.965876,0.047002,0.008353
0.020000,0.179777,0.305628,0.180190,0.866203,1.966557,0.034076,0.009257
0.020000,0.197887,0.305804,0.198301,0.905543,1.966978,0.021071,0.010204
0.020000,0.216784,0.306007,0.217199,0.944885,1.967138,0.007990,0.011195
0.020000,0.236270,0.306235,0.236686,0.974380,1.474728,-24.620491,0.012220
