dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000301,-0.304800,0.000200,0.020000,1.000000,50.000000,6.282196
0.020000,-0.000289,-0.304800,0.000212,0.000608,-0.969579,-98.478954,6.282236
0.020000,-0.000265,-0.304800,0.000237,0.001217,0.030428,50.000365,6.282316
0.020000,-0.000228,-0.304800,0.000273,0.001826,0.030443,0.000730,6.282436
0.020000,-0.000180,-0.304800,0.000322,0.002435,0.030465,0.001096,6.282596
0.020000,-0.000119,-0.304800,0.000383,0.003045,0.030494,0.001462,6.282795
0.020000,-0.000046,-0.304800,0.000456,0.003656,0.030531,0.001828,6.283035
0.020000,0.002641,-0.304800,0.003142,0.134325,6.533451,325.146027,0.000130
0.020000,0.009140,-0.304798,0.009641,0.324949,9.531227,149.888805,0.000450
0.020000,0.016449,-0.304793,0.016950,0.365449,2.024996,-375.311558,0.000811
0.020000,0.024571,-0.304785,0.025073,0.406121,2.033587,0.429570,0.001212
0.020000,0.033506,-0.304772,0.034008,0.446765,2.032215,-0.068634,0.001654
0.020000,0.043252,-0.304754,0.043754,0.487300,2.026735,-0.273997,0.002137
0.020000,0.053813,-0.304729,0.054315,0.528038,2.036924,0.509468,0.002661
0.020000,0.065185,-0.304695,0.065686,0.568581,2.027114,-0.490489,0.003226
0.020000,0.077369,-0.304652,0.077871,0.609231,2.032517,0.270122,0.003832
0.020000,0.090368,-0.304598,0.090869,0.649925,2.034723,0.110294,0.004480
0.020000,0.104177,-0.304531,0.104678,0.690450,2.026225,-0.424890,0.005170
0.020000,0.118799,-0.304450,0.119301,0.731152,2.035084,0.442949,0.005902
0.020000,0.134236,-0.304353,0.134739,0.771861,2.035455,0.018544,0.006676
0.020000,0.150485,-0.304238,0.150988,0.812459,2.029899,-0.277807,0.007493
0.020000,0.167546,-0.304103,0.168050,0.853085,2.031336,0.071883,0.008353
0.020000,0.185420,-0.303946,0.185924,0.893736,2.032534,0.059867,0.009257
0.020000,0.204107,-0.303764,0.204612,0.934406,2.033489,0.047787,0.010204
0.020000,0.223608,-0.303555,0.224114,0.975090,2.034202,0.035646,0.011195
