dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.028218,0.967758,0.000200,0.020000,1.000000,50.000000,6.282478
0.020000,0.028177,0.967758,0.000241,0.002054,-0.897321,-94.866050,6.282613
0.020000,0.028095,0.967758,0.000323,0.004106,0.102596,49.995862,6.282882
0.020000,0.028571,0.967758,0.000799,0.023802,0.984816,44.110991,0.000101
0.020000,0.031607,0.967759,0.003835,0.151802,6.399996,270.759006,0.000639
0.020000,0.035402,0.967763,0.007631,0.189764,1.898129,-225.093334,0.001310
0.020000,0.039957,0.967771,0.012185,0.227732,1.898406,0.013835,0.002115
0.020000,0.045271,0.967784,0.017499,0.265712,1.898975,0.028461,0.003053
0.020000,0.051345,0.967806,0.023573,0.303703,1.899557,0.029093,0.004122
0.020000,0.058179,0.967839,0.030408,0.341703,1.899990,0.021620,0.005323
0.020000,0.065773,0.967884,0.038002,0.379718,1.900772,0.039123,0.006654
0.020000,0.074128,0.967946,0.046357,0.417752,1.901677,0.045257,0.008113
0.020000,0.083244,0.968027,0.055473,0.455803,1.902547,0.043490,0.009701
0.020000,0.093121,0.968131,0.065350,0.493871,1.903390,0.042173,0.011416
0.020000,0.103759,0.968262,0.075990,0.531958,1.904386,0.049780,0.013256
0.020000,0.115159,0.968425,0.087391,0.570072,1.905673,0.064339,0.015219
0.020000,0.127322,0.968623,0.099555,0.608210,1.906903,0.061488,0.017305
0.020000,0.140247,0.968861,0.112483,0.646372,1.908118,0.060769,0.019512
0.020000,0.153936,0.969144,0.126174,0.684566,1.909678,0.078008,0.021837
0.020000,0.168387,0.969477,0.140630,0.722789,1.911147,0.073452,0.024279
0.020000,0.183603,0.969866,0.155851,0.761043,1.912712,0.078252,0.026835
0.020000,0.199584,0.970316,0.171837,0.799332,1.914459,0.087319,0.029503
0.020000,0.216329,0.970834,0.188590,0.837660,1.916383,0.096240,0.032282
0.020000,0.233839,0.971425,0.206111,0.876026,1.918316,0.096607,0.035167
0.020000,0.252116,0.972095,0.224400,0.914432,1.920271,0.097745,0.038157
0.020000,0.271158,0.972851,0.243457,0.952882,1.922520,0.112486,0.041249
0.020000,0.290968,0.973701,0.263285,0.991376,1.924712,0.109572,0.044439
0.020000,0.311544,0.974650,0.283883,1.029921,1.927226,0.125716,0.047725
0.020000,0.332888,0.975705,0.305254,1.068516,1.929760,0.126721,0.051103
0.020000,0.355001,0.976875,0.327397,1.107163,1.932345,0.129207,0.054570
0.020000,0.377882,0.978165,0.350314,1.145862,1.934982,0.131894,0.058123
0.020000,0.401532,0.979585,0.374007,1.184624,1.938097,0.155727,0.061756
0.020000,0.425951,0.981140,0.398475,1.223443,1.940927,0.141510,0.065467
0.020000,0.451140,0.982840,0.423722,1.262325,1.944110,0.159144,0.069252
0.020000,0.477100,0.984691,0.449747,1.301272,1.947351,0.162039,0.073105
0.020000,0.503830,0.986701,0.476553,1.340287,1.950761,0.170530,0.077023
0.020000,0.531331,0.988879,0.504141,1.379373,1.954276,0.175704,0.081001
0.020000,0.559604,0.991231,0.532511,1.418531,1.957907,0.181562,0.085035
0.020000,0.588649,0.993767,0.561666,1.457764,1.961637,0.186515,0.089118
0.020000,0.618466,0.996494,0.591608,1.497074,1.965531,0.194713,0.093247
0.020000,0.649056,0.999419,0.622337,1.536465,1.969537,0.200298,0.097416
0.020000,0.680419,1.002550,0.653856,1.575940,1.973742,0.210227,0.101619
0.020000,0.712555,1.005896,0.686166,1.615498,1.977908,0.208322,0.105852
0.020000,0.745465,1.009464,0.719269,1.655144,1.982317,0.220435,0.110107
0.020000,0.779149,1.013261,0.753166,1.694881,1.986827,0.225502,0.114380
0.020000,0.813608,1.017295,0.787861,1.734710,1.991425,0.229898,0.118664
0.020000,0.848842,1.021573,0.823353,1.774632,1.996138,0.235630,0.122953
0.020000,0.884852,1.026101,0.859646,1.814653,2.001027,0.244458,0.127241
0.020000,0.921637,1.030888,0.896742,1.854772,2.005937,0.245498,0.131521
0.020000,0.959199,1.035938,0.934642,1.894992,2.010999,0.253129,0.135786
0.020000,0.997346,1.041233,0.973154,1.925634,1.532127,-23.943618,0.140010
0.020000,1.035695,1.046719,1.011894,1.936978,0.567205,-48.246107,0.144145
0.020000,1.074055,1.052366,1.050667,1.938655,0.083823,-24.169070,0.148170
0.020000,1.112425,1.058170,1.089474,1.940335,0.084011,0.009403,0.152085
0.020000,1.150805,1.064128,1.128314,1.942018,0.084181,0.008489,0.155890
0.020000,1.189197,1.070235,1.167188,1.943705,0.084330,0.007456,0.159583
0.020000,1.227599,1.076487,1.206096,1.945394,0.084456,0.006291,0.163166
0.020000,1.266013,1.082880,1.245038,1.947085,0.084556,0.004987,0.166639
0.020000,1.304437,1.089409,1.284013,1.948778,0.084639,0.004169,0.169999
0.020000,1.342874,1.096072,1.323023,1.950472,0.084706,0.003328,0.173249
0.020000,1.381322,1.102863,1.362066,1.952167,0.084755,0.002465,0.176388
0.020000,1.419782,1.109779,1.401143,1.953863,0.084788,0.001648,0.179415
0.020000,1.458255,1.116815,1.440255,1.955559,0.084795,0.000320,0.182331
