dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.028002,0.662958,0.000200,0.020000,1.000000,50.000000,6.282478
0.020000,0.028002,0.662958,0.001000,0.060000,2.000000,50.000000,6.282613
0.020000,0.028002,0.662958,0.002600,0.100000,2.000000,0.000000,6.282882
0.020000,0.028602,0.662958,0.005000,0.140000,2.000000,0.000000,0.000101
0.020000,0.031802,0.662959,0.008200,0.180000,2.000000,-0.000000,0.000639
0.020000,0.035802,0.662963,0.012200,0.220000,2.000000,0.000000,0.001310
0.020000,0.040602,0.662971,0.017000,0.260000,2.000000,0.000000,0.002115
0.020000,0.046202,0.662986,0.022600,0.300000,2.000000,-0.000000,0.003053
0.020000,0.052602,0.663009,0.029000,0.340000,2.000000,0.000000,0.004122
0.020000,0.059801,0.663043,0.036200,0.380000,2.000000,-0.000000,0.005323
0.020000,0.067801,0.663091,0.044200,0.420000,2.000000,0.000000,0.006654
0.020000,0.076601,0.663156,0.053000,0.460000,2.000000,0.000000,0.008113
0.020000,0.086201,0.663241,0.062600,0.500000,2.000000,-0.000000,0.009701
0.020000,0.096600,0.663351,0.073000,0.540000,2.000000,0.000000,0.011416
0.020000,0.107799,0.663489,0.084200,0.580000,2.000000,-0.000000,0.013256
0.020000,0.119798,0.663660,0.096200,0.620000,2.000000,0.000000,0.015219
0.020000,0.132596,0.663868,0.109000,0.660000,2.000000,0.000000,0.017305
0.020000,0.146194,0.664119,0.122600,0.700000,2.000000,-0.000000,0.019512
0.020000,0.160591,0.664416,0.137000,0.740000,2.000000,0.000000,0.021837
0.020000,0.175787,0.664767,0.152200,0.780000,2.000000,0.000000,0.024279
0.020000,0.191782,0.665176,0.168200,0.820000,2.000000,-0.000000,0.026835
0.020000,0.208575,0.665649,0.185000,0.860000,2.000000,0.000000,0.029503
0.020000,0.226167,0.666193,0.202600,0.900000,2.000000,0.000000,0.032282
0.020000,0.244556,0.666813,0.221000,0.940000,2.000000,-0.000000,0.035167
0.020000,0.263743,0.667517,0.240200,0.980000,2.000000,0.000000,0.038157
0.020000,0.283727,0.668311,0.260200,1.020000,2.000000,0.000000,0.041249
0.020000,0.304508,0.669202,0.281000,1.060000,2.000000,0.000000,0.044439
0.020000,0.326085,0.670197,0.302600,1.100000,2.000000,0.000000,0.047725
0.020000,0.348458,0.671303,0.325000,1.140000,2.000000,-0.000000,0.051103
0.020000,0.371626,0.672528,0.348200,1.180000,2.000000,0.000000,0.054570
0.020000,0.395588,0.673880,0.372200,1.220000,2.000000,0.000000,0.058123
0.020000,0.420343,0.675366,0.397000,1.260000,2.000000,0.000000,0.061756
0.020000,0.445891,0.676993,0.422600,1.300000,2.000000,0.000000,0.065467
0.020000,0.472231,0.678770,0.449000,1.340000,2.000000,0.000000,0.069252
0.020000,0.499362,0.680705,0.476200,1.380000,2.000000,-0.000000,0.073105
0.020000,0.527283,0.682805,0.504200,1.420000,2.000000,0.000000,0.077023
0.020000,0.555994,0.685078,0.533000,1.460000,2.000000,0.000000,0.081001
0.020000,0.585492,0.687533,0.562600,1.500000,2.000000,0.000000,0.085035
0.020000,0.615776,0.690177,0.593000,1.540000,2.000000,0.000000,0.089118
0.020000,0.646847,0.693018,0.624200,1.580000,2.000000,0.000000,0.093247
0.020000,0.678701,0.696064,0.656200,1.620000,2.000000,0.000000,0.097416
0.020000,0.711339,0.699323,0.689000,1.660000,2.000000,-0.000000,0.101619
0.020000,0.744758,0.702802,0.722600,1.700000,2.000000,0.000000,0.105852
0.020000,0.778958,0.706510,0.757000,1.740000,2.000000,0.000000,0.110107
0.020000,0.813936,0.710453,0.792200,1.780000,2.000000,0.000000,0.114380
0.020000,0.849692,0.714638,0.828200,1.820000,2.000000,0.000000,0.118664
0.020000,0.886224,0.719074,0.865000,1.860000,2.000000,0.000000,0.122953
0.020000,0.923530,0.723765,0.902600,1.900000,2.000000,-0.000000,0.127241
0.020000,0.961609,0.728720,0.941000,1.940000,2.000000,0.000000,0.131521
0.020000,1.000459,0.733944,0.980200,1.980000,2.000000,0.000000,0.135786
0.020000,1.039882,0.739415,1.020000,2.000000,1.000000,-50.000000,0.140010
0.020000,1.079478,0.745080,1.060000,2.000000,0.000000,-50.000000,0.144145
0.020000,1.119052,0.750905,1.100000,2.000000,0.000000,0.000000,0.148170
0.020000,1.158602,0.756888,1.140000,2.000000,0.000000,0.000000,0.152085
0.020000,1.198128,0.763024,1.180000,2.000000,0.000000,0.000000,0.155890
0.020000,1.237632,0.769308,1.220000,2.000000,0.000000,0.000000,0.159583
0.020000,1.277112,0.775735,1.260000,2.000000,0.000000,0.000000,0.163166
0.020000,1.316569,0.782302,1.300000,2.000000,0.000000,0.000000,0.166639
0.020000,1.356004,0.789003,1.340000,2.000000,0.000000,0.000000,0.169999
0.020000,1.395416,0.795835,1.380000,2.000000,0.000000,0.000000,0.173249
0.020000,1.434806,0.802792,1.420000,2.000000,0.000000,0.000000,0.176388
0.020000,1.474175,0.809871,1.460000,2.000000,0.000000,0.000000,0.179415
0.020000,1.513522,0.817067,1.500000,2.000000,0.000000,0.000000,0.182331
0.020000,1.552849,0.824375,1.540000,2.000000,0.000000,0.000000,0.185136
0.020000,1.592155,0.831792,1.580000,2.000000,0.000000,0.000000,0.187829
0.020000,1.631442,0.839312,1.620000,2.000000,0.000000,0.000000,0.190411
0.020000,1.670710,0.846932,1.660000,2.000000,0.000000,0.000000,0.192882
0.020000,1.709959,0.854646,1.700000,2.000000,0.000000,0.000000,0.195242
0.020000,1.749190,0.862450,1.740000,2.000000,0.000000,0.000000,0.197491
