dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.083485,0.890477,0.000199,0.019945,0.997228,49.861386,2.483434
0.020000,8.083356,0.890577,0.000363,0.008194,-0.587541,-79.238413,2.483971
0.020000,8.082652,0.891120,0.001252,0.044434,1.811992,119.976629,2.485048
0.020000,8.080364,0.892880,0.004139,0.144333,4.994988,159.149786,2.486666
0.020000,8.077307,0.895222,0.007990,0.192543,2.410488,-129.224972,2.488832
0.020000,8.073476,0.898143,0.012807,0.240888,2.417230,0.337061,2.491551
0.020000,8.068863,0.901638,0.018595,0.289365,2.423883,0.332665,2.494833
0.020000,8.063461,0.905701,0.025354,0.337956,2.429532,0.282475,2.498687
0.020000,8.057260,0.910325,0.033089,0.386767,2.440535,0.550124,2.503126
0.020000,8.050249,0.915501,0.041804,0.435756,2.449461,0.446318,2.508163
0.020000,8.042414,0.921221,0.051504,0.485010,2.462684,0.661162,2.513814
0.020000,8.033742,0.927473,0.062195,0.534532,2.476111,0.671311,2.520096
0.020000,8.024218,0.934244,0.073881,0.584321,2.489475,0.668224,2.527029
0.020000,8.013822,0.941521,0.086571,0.634459,2.506876,0.870046,2.534634
0.020000,8.002538,0.949288,0.100269,0.684933,2.523704,0.841380,2.542934
0.020000,7.990344,0.957526,0.114985,0.735805,2.543599,0.994791,2.551954
0.020000,7.977218,0.966216,0.130727,0.787068,2.563134,0.976734,2.561721
0.020000,7.963137,0.975333,0.147503,0.838798,2.586504,1.168472,2.572265
0.020000,7.948074,0.984854,0.165322,0.890973,2.608743,1.111977,2.583615
0.020000,7.932003,0.994749,0.184195,0.943639,2.633323,1.228982,2.595804
0.020000,7.914896,1.004987,0.204131,0.996829,2.659492,1.308486,2.608864
0.020000,7.896723,1.015532,0.225142,1.050525,2.684813,1.266049,2.622832
0.020000,7.877454,1.026343,0.247237,1.104758,2.711650,1.341850,2.637741
0.020000,7.857057,1.037379,0.270428,1.159549,2.739544,1.394678,2.653627
0.020000,7.835500,1.048589,0.294725,1.214848,2.764974,1.271517,2.670526
0.020000,7.812752,1.059919,0.320139,1.270683,2.791749,1.338729,2.688470
0.020000,7.788782,1.071311,0.346678,1.326977,2.814686,1.146838,2.707491
0.020000,7.763559,1.082698,0.374353,1.383722,2.837259,1.128676,2.727618
0.020000,7.737055,1.094009,0.403169,1.440801,2.853950,0.834528,2.748874
0.020000,7.709247,1.105166,0.433132,1.498149,2.867379,0.671467,2.771275
0.020000,7.680113,1.116084,0.464245,1.555643,2.874707,0.366370,2.794832
0.020000,7.649638,1.126673,0.496507,1.613134,2.874559,-0.007368,2.819544
0.020000,7.617813,1.136838,0.529916,1.670431,2.864849,-0.485515,2.845399
0.020000,7.584638,1.146475,0.564463,1.727334,2.845118,-0.986531,2.872370
