dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.209518,0.216095,0.000200,0.020000,1.000000,50.000000,2.658207
0.020000,5.209573,0.216066,0.000262,0.003113,-0.844349,-92.217432,2.658412
0.020000,5.209683,0.216008,0.000387,0.006226,0.155650,49.999940,2.658820
0.020000,5.209848,0.215921,0.000574,0.009339,0.155647,-0.000137,2.659433
0.020000,5.208001,0.216887,0.002658,0.104207,4.743411,229.388201,2.660250
0.020000,5.204731,0.218592,0.006346,0.184411,4.010203,-36.660403,2.661272
0.020000,5.200805,0.220635,0.010772,0.221305,1.844682,-108.276085,2.662499
0.020000,5.196221,0.223012,0.015936,0.258177,1.843620,-0.053082,2.663931
0.020000,5.190979,0.225720,0.021836,0.295032,1.842749,-0.043555,2.665569
0.020000,5.185076,0.228757,0.028474,0.331907,1.843759,0.050509,2.667413
0.020000,5.178511,0.232118,0.035850,0.368760,1.842602,-0.057844,2.669463
0.020000,5.171282,0.235799,0.043961,0.405576,1.840846,-0.087801,2.671721
0.020000,5.163388,0.239795,0.052810,0.442446,1.843457,0.130526,2.674186
0.020000,5.154825,0.244103,0.062395,0.479263,1.840880,-0.128831,2.676859
0.020000,5.145591,0.248715,0.072717,0.516079,1.840779,-0.005059,2.679741
0.020000,5.135684,0.253628,0.083775,0.552892,1.840641,-0.006897,2.682832
0.020000,5.125101,0.258833,0.095568,0.589691,1.839972,-0.033451,2.686133
0.020000,5.113839,0.264325,0.108098,0.626473,1.839097,-0.043755,2.689644
0.020000,5.101895,0.270096,0.121364,0.663295,1.841093,0.099783,2.693366
0.020000,5.089265,0.276139,0.135365,0.700046,1.837536,-0.177830,2.697299
0.020000,5.075946,0.282445,0.150101,0.736823,1.838861,0.066241,2.701444
0.020000,5.061934,0.289007,0.165573,0.773601,1.838921,0.003010,2.705802
0.020000,5.047226,0.295815,0.181780,0.810354,1.837662,-0.062939,2.710371
0.020000,5.031818,0.302859,0.198723,0.847121,1.838328,0.033293,2.715153
0.020000,5.015705,0.310131,0.216400,0.883886,1.838266,-0.003077,2.720148
0.020000,4.998885,0.317620,0.234813,0.920614,1.836408,-0.092920,2.725356
0.020000,4.981350,0.325314,0.253961,0.957410,1.839783,0.168744,2.730776
0.020000,4.963099,0.333203,0.273844,0.994159,1.837440,-0.117127,2.736409
0.020000,4.944127,0.341275,0.294463,1.030929,1.838501,0.053008,2.742253
0.020000,4.924427,0.349519,0.315817,1.067713,1.839180,0.033977,2.748309
0.020000,4.903997,0.357920,0.337907,1.104503,1.839539,0.017969,2.754575
0.020000,4.882832,0.366467,0.360733,1.141316,1.840644,0.055205,2.761049
0.020000,4.860925,0.375146,0.384297,1.178160,1.842206,0.078124,2.767732
0.020000,4.838273,0.383942,0.408597,1.215017,1.842814,0.030415,2.774621
0.020000,4.814870,0.392843,0.433635,1.251902,1.844253,0.071926,2.781713
0.020000,4.790712,0.401832,0.459412,1.288830,1.846418,0.108255,2.789008
0.020000,4.765793,0.410896,0.485927,1.325798,1.848385,0.098327,2.796501
0.020000,4.740108,0.420017,0.513184,1.362802,1.850230,0.092299,2.804191
0.020000,4.713653,0.429181,0.541181,1.399875,1.853621,0.169515,2.812073
0.020000,4.686422,0.438371,0.569921,1.436988,1.855664,0.102149,2.820144
0.020000,4.658410,0.447571,0.599405,1.474192,1.860194,0.226520,2.828399
0.020000,4.629613,0.456763,0.629634,1.511448,1.862790,0.129815,2.836834
0.020000,4.600025,0.465930,0.660609,1.548786,1.866912,0.206073,2.845443
0.020000,4.569641,0.475055,0.692334,1.586217,1.871557,0.232258,2.854221
0.020000,4.538457,0.484120,0.724809,1.623751,1.876693,0.256782,2.863161
0.020000,4.506468,0.493107,0.758036,1.661369,1.880905,0.210631,2.872257
0.020000,4.473669,0.501998,0.792018,1.699112,1.887166,0.313032,2.881501
0.020000,4.440057,0.510774,0.826758,1.736979,1.893314,0.307414,2.890885
0.020000,4.405626,0.519417,0.862257,1.774964,1.899277,0.298146,2.900401
0.020000,4.370372,0.527908,0.898519,1.813098,1.906674,0.369851,2.910041
0.020000,4.334472,0.536189,0.935361,1.842109,1.450586,-22.804390,2.919744
0.020000,4.298287,0.544167,0.972415,1.852711,0.530089,-46.024888,2.929408
0.020000,4.261999,0.551803,1.009499,1.854155,0.072194,-22.894729,2.938978
0.020000,4.225610,0.559098,1.046611,1.855644,0.074467,0.113631,2.948449
0.020000,4.189123,0.566057,1.083756,1.857219,0.078711,0.212235,2.957818
