dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.351182,0.485973,0.000200,0.020000,1.000000,50.000000,2.658207
0.020000,5.351182,0.485973,0.001000,0.060000,2.000000,50.000000,2.658412
0.020000,5.351182,0.485973,0.002600,0.100000,2.000000,0.000000,2.658820
0.020000,5.351182,0.485973,0.005000,0.140000,2.000000,0.000000,2.659433
0.020000,5.349114,0.487053,0.008200,0.180000,2.000000,-0.000000,2.660250
0.020000,5.345568,0.488903,0.012200,0.220000,2.000000,0.000000,2.661272
0.020000,5.341310,0.491119,0.017000,0.260000,2.000000,0.000000,2.662499
0.020000,5.336339,0.493697,0.022600,0.300000,2.000000,-0.000000,2.663931
0.020000,5.330653,0.496634,0.029000,0.340000,2.000000,0.000000,2.665569
0.020000,5.324250,0.499928,0.036200,0.380000,2.000000,-0.000000,2.667413
0.020000,5.317129,0.503573,0.044200,0.420000,2.000000,0.000000,2.669463
0.020000,5.309287,0.507566,0.053000,0.460000,2.000000,0.000000,2.671721
0.020000,5.300722,0.511902,0.062600,0.500000,2.000000,-0.000000,2.674186
0.020000,5.291431,0.516576,0.073000,0.540000,2.000000,0.000000,2.676859
0.020000,5.281412,0.521581,0.084200,0.580000,2.000000,-0.000000,2.679741
0.020000,5.270661,0.526912,0.096200,0.620000,2.000000,0.000000,2.682832
0.020000,5.259175,0.532561,0.109000,0.660000,2.000000,0.000000,2.686133
0.020000,5.246951,0.538522,0.122600,0.700000,2.000000,-0.000000,2.689644
0.020000,5.233985,0.544787,0.137000,0.740000,2.000000,0.000000,2.693366
0.020000,5.220274,0.551347,0.152200,0.780000,2.000000,0.000000,2.697299
0.020000,5.205813,0.558194,0.168200,0.820000,2.000000,-0.000000,2.701444
0.020000,5.190599,0.565319,0.185000,0.860000,2.000000,0.000000,2.705802
0.020000,5.174627,0.572712,0.202600,0.900000,2.000000,0.000000,2.710371
0.020000,5.157893,0.580363,0.221000,0.940000,2.000000,-0.000000,2.715153
0.020000,5.140392,0.588261,0.240200,0.980000,2.000000,0.000000,2.720148
0.020000,5.122122,0.596395,0.260200,1.020000,2.000000,0.000000,2.725356
0.020000,5.103075,0.604753,0.281000,1.060000,2.000000,0.000000,2.730776
0.020000,5.083248,0.613324,0.302600,1.100000,2.000000,0.000000,2.736409
0.020000,5.062636,0.622093,0.325000,1.140000,2.000000,-0.000000,2.742253
0.020000,5.041234,0.631049,0.348200,1.180000,2.000000,0.000000,2.748309
0.020000,5.019038,0.640177,0.372200,1.220000,2.000000,0.000000,2.754575
0.020000,4.996042,0.649462,0.397000,1.260000,2.000000,0.000000,2.761049
0.020000,4.972241,0.658891,0.422600,1.300000,2.000000,0.000000,2.767732
0.020000,4.947632,0.668448,0.449000,1.340000,2.000000,0.000000,2.774621
0.020000,4.922209,0.678117,0.476200,1.380000,2.000000,-0.000000,2.781713
0.020000,4.895967,0.687882,0.504200,1.420000,2.000000,0.000000,2.789008
0.020000,4.868901,0.697726,0.533000,1.460000,2.000000,0.000000,2.796501
0.020000,4.841008,0.707632,0.562600,1.500000,2.000000,0.000000,2.804191
0.020000,4.812283,0.717582,0.593000,1.540000,2.000000,0.000000,2.812073
0.020000,4.782721,0.727559,0.624200,1.580000,2.000000,0.000000,2.820144
0.020000,4.752319,0.737544,0.656200,1.620000,2.000000,0.000000,2.828399
0.020000,4.721072,0.747517,0.689000,1.660000,2.000000,-0.000000,2.836834
0.020000,4.688977,0.757461,0.722600,1.700000,2.000000,0.000000,2.845443
0.020000,4.656031,0.767356,0.757000,1.740000,2.000000,0.000000,2.854221
0.020000,4.622231,0.777182,0.792200,1.780000,2.000000,0.000000,2.863161
0.020000,4.587573,0.786918,0.828200,1.820000,2.000000,0.000000,2.872257
0.020000,4.552055,0.796546,0.865000,1.860000,2.000000,0.000000,2.881501
0.020000,4.515674,0.806045,0.902600,1.900000,2.000000,-0.000000,2.890885
0.020000,4.478430,0.815394,0.941000,1.940000,2.000000,0.000000,2.900401
0.020000,4.440320,0.824574,0.980200,1.980000,2.000000,0.000000,2.910041
0.020000,4.401538,0.833519,1.020000,2.000000,1.000000,-50.000000,2.919744
0.020000,4.362477,0.842131,1.060000,2.000000,0.000000,-50.000000,2.929408
0.020000,4.323334,0.850368,1.100000,2.000000,0.000000,0.000000,2.938978
0.020000,4.284115,0.858231,1.140000,2.000000,0.000000,0.000000,2.948449
