dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.492847,0.755851,0.000200,0.020000,1.000000,50.000000,2.658207
0.020000,5.492792,0.755880,0.000262,0.003113,-0.844349,-92.217432,2.658412
0.020000,5.492682,0.755937,0.000387,0.006226,0.155650,49.999940,2.658820
0.020000,5.492516,0.756024,0.000574,0.009339,0.155647,-0.000137,2.659433
0.020000,5.490228,0.757220,0.003156,0.129117,5.988916,291.663453,2.660250
0.020000,5.486405,0.759214,0.007467,0.215554,4.321831,-83.354255,2.661272
0.020000,5.481815,0.761602,0.012641,0.258699,2.157231,-108.230018,2.662499
0.020000,5.476456,0.764381,0.018678,0.301829,2.156534,-0.034858,2.663931
0.020000,5.470327,0.767548,0.025577,0.344952,2.156136,-0.019891,2.665569
0.020000,5.463424,0.771098,0.033339,0.388112,2.158008,0.093614,2.667413
0.020000,5.455747,0.775029,0.041964,0.431260,2.157410,-0.029924,2.669463
0.020000,5.447292,0.779334,0.051452,0.474384,2.156164,-0.062268,2.671721
0.020000,5.438057,0.784010,0.061803,0.517585,2.160071,0.195347,2.674186
0.020000,5.428038,0.789049,0.073018,0.560744,2.157945,-0.106315,2.676859
0.020000,5.417233,0.794447,0.085097,0.603919,2.158736,0.039560,2.679741
0.020000,5.405638,0.800196,0.098039,0.647109,2.159494,0.037870,2.682832
0.020000,5.393249,0.806290,0.111845,0.690301,2.159624,0.006521,2.686133
0.020000,5.380063,0.812719,0.126515,0.733491,2.159492,-0.006614,2.689644
0.020000,5.366076,0.819478,0.142050,0.776745,2.162683,0.159555,2.693366
0.020000,5.351283,0.826555,0.158448,0.819931,2.159316,-0.168369,2.697299
0.020000,5.335680,0.833943,0.175711,0.863163,2.161588,0.113603,2.701444
0.020000,5.319263,0.841631,0.193840,0.906408,2.162281,0.034669,2.705802
0.020000,5.302027,0.849609,0.212832,0.949634,2.161308,-0.048666,2.710371
0.020000,5.283968,0.857866,0.232690,0.992883,2.162444,0.056810,2.715153
0.020000,5.265080,0.866391,0.253413,1.036134,2.162556,0.005616,2.720148
0.020000,5.245359,0.875170,0.274999,1.079342,2.160362,-0.109690,2.725356
0.020000,5.224799,0.884192,0.297452,1.122623,2.164076,0.185669,2.730776
0.020000,5.203396,0.893444,0.320769,1.165840,2.160827,-0.162451,2.736409
0.020000,5.181145,0.902911,0.344950,1.209065,2.161276,0.022475,2.742253
0.020000,5.158040,0.912579,0.369996,1.252284,2.160955,-0.016060,2.748309
0.020000,5.134078,0.922433,0.395905,1.295482,2.159899,-0.052798,2.754575
0.020000,5.109252,0.932458,0.422679,1.338669,2.159321,-0.028882,2.761049
0.020000,5.083558,0.942637,0.450316,1.381846,2.158849,-0.023603,2.767732
0.020000,5.056991,0.952954,0.478815,1.424981,2.156788,-0.103052,2.774621
0.020000,5.029547,0.963391,0.508177,1.468085,2.155193,-0.079768,2.781713
0.020000,5.001222,0.973932,0.538400,1.511163,2.153903,-0.064509,2.789008
0.020000,4.972010,0.984556,0.569484,1.554199,2.151794,-0.105440,2.796501
0.020000,4.941908,0.995247,0.601428,1.597178,2.148920,-0.143703,2.804191
0.020000,4.910913,1.005983,0.634230,1.640122,2.147194,-0.086312,2.812073
0.020000,4.879020,1.016747,0.667890,1.682985,2.143190,-0.200199,2.820144
0.020000,4.846227,1.027516,0.702406,1.725813,2.141364,-0.091262,2.828399
0.020000,4.812531,1.038272,0.737777,1.768543,2.136506,-0.242927,2.836834
0.020000,4.777930,1.048993,0.774001,1.811195,2.132634,-0.193611,2.845443
0.020000,4.742422,1.059657,0.811076,1.853766,2.128545,-0.204417,2.854221
0.020000,4.706004,1.070243,0.849001,1.896250,2.124176,-0.218475,2.863161
0.020000,4.668677,1.080730,0.887773,1.938607,2.117854,-0.316090,2.872257
0.020000,4.630440,1.091095,0.927391,1.980868,2.113032,-0.241128,2.881501
0.020000,4.591292,1.101316,0.967851,2.023011,2.107172,-0.292990,2.890885
0.020000,4.551234,1.111372,1.009151,2.065015,2.100185,-0.349338,2.900401
0.020000,4.510268,1.121239,1.051289,2.106894,2.093954,-0.311545,2.910041
0.020000,4.468604,1.130849,1.094047,2.137879,1.549271,-27.234167,2.919744
0.020000,4.426667,1.140096,1.136992,2.147257,0.468881,-54.019504,2.929408
0.020000,4.384669,1.148933,1.179909,2.145843,-0.070696,-26.978842,2.938978
0.020000,4.342620,1.157363,1.222795,2.144331,-0.075594,-0.244896,2.948449
0.020000,4.300523,1.165392,1.265651,2.142772,-0.077931,-0.116851,2.957818
0.020000,4.258385,1.173022,1.308473,2.141135,-0.081862,-0.196535,2.967079
0.020000,4.216213,1.180258,1.351262,2.139446,-0.084456,-0.129710,2.976230
0.020000,4.174011,1.187105,1.394016,2.137691,-0.087743,-0.164340,2.985265
0.020000,4.131785,1.193567,1.436734,2.135885,-0.090290,-0.127368,2.994182
0.020000,4.089540,1.199650,1.479414,2.134022,-0.093155,-0.143253,3.002977
0.020000,4.047281,1.205358,1.522057,2.132113,-0.095470,-0.115749,3.011646
0.020000,4.005014,1.210698,1.564660,2.130152,-0.098037,-0.128356,3.020186
0.020000,3.962743,1.215674,1.607223,2.128151,-0.100031,-0.099696,3.028596
0.020000,3.920473,1.220294,1.649745,2.126104,-0.102354,-0.116116,3.036871
0.020000,3.878207,1.224562,1.692225,2.124024,-0.104008,-0.082703,3.045009
0.020000,3.835951,1.228485,1.734663,2.121902,-0.106091,-0.104155,3.053009
0.020000,3.793708,1.232069,1.777058,2.119754,-0.107433,-0.067132,3.060867
0.020000,3.751481,1.235321,1.819410,2.117569,-0.109233,-0.089993,3.068582
0.020000,3.709275,1.238247,1.861717,2.115361,-0.110384,-0.057558,3.076152
0.020000,3.667093,1.240853,1.903979,2.113125,-0.111808,-0.071177,3.083575
0.020000,3.624938,1.243148,1.946197,2.110868,-0.112840,-0.051595,3.090850
0.020000,3.582813,1.245136,1.988369,2.108590,-0.113901,-0.053073,3.097976
0.020000,3.540721,1.246826,2.030495,2.106295,-0.114780,-0.043914,3.104951
0.020000,3.498665,1.248223,2.072574,2.103983,-0.115576,-0.039825,3.111774
0.020000,3.456647,1.249336,2.114607,2.101658,-0.116247,-0.033562,3.118445
0.020000,3.414668,1.250170,2.156594,2.099321,-0.116867,-0.030970,3.124962
0.020000,3.372733,1.250734,2.198533,2.096975,-0.117291,-0.021217,3.131326
0.020000,3.330841,1.251033,2.240426,2.094619,-0.117808,-0.025831,3.137534
0.020000,3.288996,1.251076,2.282271,2.092259,-0.117980,-0.008619,3.143588
0.020000,3.247199,1.250869,2.324069,2.089891,-0.118395,-0.020752,3.149487
0.020000,3.205451,1.250419,2.365819,2.087524,-0.118392,0.000135,3.155230
0.020000,3.163754,1.249733,2.407522,2.085151,-0.118646,-0.012688,3.160818
0.020000,3.122108,1.248819,2.449178,2.082779,-0.118564,0.004095,3.166250
0.020000,3.080515,1.247682,2.490786,2.080407,-0.118638,-0.003678,3.171526
0.020000,3.038977,1.246332,2.532347,2.078036,-0.118515,0.006168,3.176647
0.020000,2.997492,1.244773,2.573860,2.075668,-0.118417,0.004898,3.181612
0.020000,2.956064,1.243014,2.615326,2.073303,-0.118275,0.007068,3.186422
0.020000,2.914691,1.241061,2.656745,2.070942,-0.118025,0.012496,3.191077
0.020000,2.873375,1.238921,2.698117,2.068584,-0.117878,0.007386,3.195577
0.020000,2.832115,1.236601,2.739441,2.066234,-0.117503,0.018708,3.199923
0.020000,2.790913,1.234108,2.780719,2.063887,-0.117352,0.007581,3.204116
0.020000,2.749768,1.231448,2.821950,2.061550,-0.116886,0.023276,3.208154
0.020000,2.708680,1.228629,2.863134,2.059215,-0.116727,0.007974,3.212040
0.020000,2.667650,1.225656,2.904272,2.056891,-0.116205,0.026079,3.215773
0.020000,2.626677,1.222537,2.945364,2.054570,-0.116030,0.008751,3.219354
0.020000,2.585761,1.219277,2.986409,2.052261,-0.115488,0.027127,3.222783
0.020000,2.544903,1.215885,3.027408,2.049955,-0.115288,0.009979,3.226061
0.020000,2.504101,1.212365,3.068361,2.047660,-0.114757,0.026542,3.229188
0.020000,2.463356,1.208726,3.109268,2.045369,-0.114525,0.011617,3.232166
0.020000,2.422667,1.204972,3.150130,2.043089,-0.114034,0.024540,3.234993
0.020000,2.382034,1.201110,3.190946,2.040813,-0.113763,0.013535,3.237671
0.020000,2.341456,1.197147,3.231717,2.038547,-0.113335,0.021412,3.240200
0.020000,2.300933,1.193089,3.272443,2.036286,-0.113024,0.015535,3.242581
0.020000,2.260464,1.188942,3.313124,2.034033,-0.112674,0.017499,3.244814
0.020000,2.220049,1.184712,3.353760,2.031786,-0.112327,0.017373,3.246900
0.020000,2.179687,1.180406,3.394350,2.029545,-0.112064,0.013173,3.248839
0.020000,2.139378,1.176029,3.434897,2.027311,-0.111688,0.018779,3.250631
0.020000,2.099121,1.171588,3.475398,2.025081,-0.111512,0.008812,3.252277
0.020000,2.058914,1.167089,3.515855,2.022858,-0.111122,0.019479,3.253776
0.020000,2.018759,1.162537,3.556268,2.020638,-0.111026,0.004787,3.255131
0.020000,1.978653,1.157939,3.596637,2.018425,-0.110651,0.018757,3.256340
0.020000,1.938597,1.153300,3.636961,2.016213,-0.110595,0.002801,3.257404
0.020000,1.898588,1.148627,3.677241,2.014007,-0.110295,0.015026,3.258323
0.020000,1.858628,1.143925,3.717477,2.011803,-0.110223,0.003582,3.259097
0.020000,1.818715,1.139200,3.757669,2.009602,-0.110038,0.009233,3.259727
0.020000,1.778848,1.134458,3.797817,2.007403,-0.109958,0.004043,3.260213
0.020000,1.739026,1.129704,3.837921,2.005205,-0.109865,0.004640,3.260554
0.020000,1.699250,1.124946,3.877981,2.003009,-0.109804,0.003039,3.260752
0.020000,1.659517,1.120187,3.917998,2.000814,-0.109775,0.001433,3.260805
0.020000,1.619829,1.115434,3.957970,1.998618,-0.109765,0.000499,3.260715
0.020000,1.580183,1.110693,3.997899,1.996423,-0.109771,-0.000279,3.260480
0.020000,1.540579,1.105970,4.037783,1.994226,-0.109839,-0.003415,3.260101
0.020000,1.501016,1.101269,4.077624,1.992029,-0.109858,-0.000932,3.259578
